Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,2.0,0 days 00:01:24.536000,0 days 00:00:30.021000,0 days 00:00:18.135000,0 days 00:00:36.380000,MEDIUM,2.0,1.0,,,1,14.0,False,2024,Australia,R,84.536,30.021,18.135,36.38,83.027,1.5090000000000003,84.536,0.0,1.5090000000000003,84.656,84.656,0.0,57.0,0.03508771929824561,5.0,0.4,4.0,4.0,1,0,0,1,0,1,0,0.0,2.0,0.0,4
ALB,Williams,3.0,0 days 00:01:23.606000,0 days 00:00:29.307000,0 days 00:00:18.047000,0 days 00:00:36.252000,MEDIUM,3.0,1.0,,,1,14.0,False,2024,Australia,R,83.606,29.307,18.047,36.252,83.027,0.5789999999999935,84.536,-0.9300000000000068,0.5789999999999935,83.786,84.656,-0.8700000000000045,57.0,0.05263157894736842,5.0,0.6,9.0,9.0,1,0,0,1,0,1,0,0.0,3.0,0.0,4
ALB,Williams,4.0,0 days 00:01:23.438000,0 days 00:00:29.061000,0 days 00:00:18.076000,0 days 00:00:36.301000,MEDIUM,4.0,1.0,,,1,13.0,False,2024,Australia,R,83.438,29.061,18.076,36.301,83.027,0.41100000000000136,84.536,-1.097999999999999,0.41100000000000136,83.678,84.656,-0.9780000000000086,57.0,0.07017543859649122,5.0,0.8,16.0,16.0,1,0,0,1,0,1,0,0.0,4.0,0.0,4
ALB,Williams,5.0,0 days 00:01:23.916000,0 days 00:00:29.328000,0 days 00:00:18.079000,0 days 00:00:36.509000,MEDIUM,5.0,1.0,,,1,13.0,False,2024,Australia,R,83.916,29.328,18.079,36.509,83.027,0.8889999999999958,84.536,-0.6200000000000045,0.8889999999999958,84.216,84.656,-0.44000000000001194,57.0,0.08771929824561403,5.0,1.0,25.0,25.0,1,0,0,1,0,1,0,0.0,5.0,0.0,4
ALB,Williams,8.0,0 days 00:01:23.720000,0 days 00:00:29.377000,0 days 00:00:18.444000,0 days 00:00:35.899000,HARD,2.0,2.0,,,1,14.0,False,2024,Australia,R,83.72,29.377,18.444,35.899,83.027,0.6929999999999978,83.72,0.0,0.6929999999999978,84.2,84.2,0.0,57.0,0.14035087719298245,20.0,0.1,4.0,64.0,0,1,0,1,0,0,1,0.0,0.0,2.0,18
ALB,Williams,9.0,0 days 00:01:23.645000,0 days 00:00:29.274000,0 days 00:00:18.408000,0 days 00:00:35.963000,HARD,3.0,2.0,,,1,14.0,False,2024,Australia,R,83.645,29.274,18.408,35.963,83.027,0.617999999999995,83.72,-0.07500000000000284,0.617999999999995,84.185,84.2,-0.015000000000000568,57.0,0.15789473684210525,20.0,0.15,9.0,81.0,0,1,0,1,0,0,1,0.0,0.0,3.0,18
ALB,Williams,10.0,0 days 00:01:23.852000,0 days 00:00:29.780000,0 days 00:00:18.253000,0 days 00:00:35.819000,HARD,4.0,2.0,,,1,13.0,False,2024,Australia,R,83.852,29.78,18.253,35.819,83.027,0.8250000000000028,83.72,0.132000000000005,0.8250000000000028,84.452,84.2,0.25199999999999534,57.0,0.17543859649122806,20.0,0.2,16.0,100.0,0,1,0,1,0,0,1,0.0,0.0,4.0,18
ALB,Williams,11.0,0 days 00:01:23.254000,0 days 00:00:29.091000,0 days 00:00:18.333000,0 days 00:00:35.830000,HARD,5.0,2.0,,,1,13.0,False,2024,Australia,R,83.254,29.091,18.333,35.83,83.027,0.22700000000000387,83.72,-0.465999999999994,0.22700000000000387,83.914,84.2,-0.28600000000000136,57.0,0.19298245614035087,20.0,0.25,25.0,121.0,0,1,0,1,0,0,1,0.0,0.0,5.0,18
ALB,Williams,12.0,0 days 00:01:22.767000,0 days 00:00:29.045000,0 days 00:00:18.159000,0 days 00:00:35.563000,HARD,6.0,2.0,,,1,13.0,False,2024,Australia,R,82.767,29.045,18.159,35.563,83.027,0.2600000000000051,83.72,-0.953000000000003,-0.2600000000000051,83.487,84.2,-0.7130000000000081,57.0,0.21052631578947367,20.0,0.3,36.0,144.0,0,1,0,1,0,0,1,0.0,0.0,6.0,18
ALB,Williams,13.0,0 days 00:01:23.183000,0 days 00:00:28.991000,0 days 00:00:18.198000,0 days 00:00:35.994000,HARD,7.0,2.0,,,1,13.0,False,2024,Australia,R,83.183,28.991,18.198,35.994,83.027,0.1560000000000059,83.72,-0.5369999999999919,0.1560000000000059,83.96300000000001,84.2,-0.23699999999999477,57.0,0.22807017543859648,20.0,0.35,49.0,169.0,0,1,0,1,0,0,1,0.0,0.0,7.0,18
