Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,2.0,0 days 00:01:23.115000,0 days 00:00:26.300000,0 days 00:00:28.926000,0 days 00:00:27.889000,MEDIUM,2.0,1.0,,,1,14.0,False,2024,Emilia Romagna,R,83.115,26.3,28.926,27.889,81.839,1.2759999999999962,83.115,0.0,1.2759999999999962,83.235,83.235,0.0,63.0,0.031746031746031744,7.0,0.2857142857142857,4.0,4.0,1,0,0,1,0,1,0,0.0,2.0,0.0,6
ALB,Williams,3.0,0 days 00:01:22.652000,0 days 00:00:25.926000,0 days 00:00:28.950000,0 days 00:00:27.776000,MEDIUM,3.0,1.0,,,1,14.0,False,2024,Emilia Romagna,R,82.652,25.926,28.95,27.776,81.839,0.8130000000000024,83.115,-0.46299999999999386,0.8130000000000024,82.83200000000001,83.235,-0.4029999999999916,63.0,0.047619047619047616,7.0,0.42857142857142855,9.0,9.0,1,0,0,1,0,1,0,0.0,3.0,0.0,6
ALB,Williams,4.0,0 days 00:01:22.578000,0 days 00:00:25.808000,0 days 00:00:29.055000,0 days 00:00:27.715000,MEDIUM,4.0,1.0,,,1,14.0,False,2024,Emilia Romagna,R,82.578,25.808,29.055,27.715,81.839,0.7390000000000043,83.115,-0.5369999999999919,0.7390000000000043,82.818,83.235,-0.4170000000000016,63.0,0.06349206349206349,7.0,0.5714285714285714,16.0,16.0,1,0,0,1,0,1,0,0.0,4.0,0.0,6
ALB,Williams,5.0,0 days 00:01:22.357000,0 days 00:00:25.971000,0 days 00:00:28.762000,0 days 00:00:27.624000,MEDIUM,5.0,1.0,,,1,14.0,False,2024,Emilia Romagna,R,82.357,25.971,28.762,27.624,81.839,0.5180000000000007,83.115,-0.7579999999999956,0.5180000000000007,82.657,83.235,-0.578000000000003,63.0,0.07936507936507936,7.0,0.7142857142857143,25.0,25.0,1,0,0,1,0,1,0,0.0,5.0,0.0,6
ALB,Williams,6.0,0 days 00:01:22.472000,0 days 00:00:26.056000,0 days 00:00:28.744000,0 days 00:00:27.672000,MEDIUM,6.0,1.0,,,1,14.0,False,2024,Emilia Romagna,R,82.472,26.056,28.744,27.672,81.839,0.6329999999999956,83.115,-0.6430000000000007,0.6329999999999956,82.832,83.235,-0.4030000000000058,63.0,0.09523809523809523,7.0,0.8571428571428571,36.0,36.0,1,0,0,1,0,1,0,0.0,6.0,0.0,6
ALB,Williams,7.0,0 days 00:01:22.495000,0 days 00:00:25.951000,0 days 00:00:28.798000,0 days 00:00:27.746000,MEDIUM,7.0,1.0,,,1,14.0,False,2024,Emilia Romagna,R,82.495,25.951,28.798,27.746,81.839,0.6560000000000059,83.115,-0.6199999999999903,0.6560000000000059,82.915,83.235,-0.3199999999999932,63.0,0.1111111111111111,7.0,1.0,49.0,49.0,1,0,0,1,0,1,0,0.0,7.0,0.0,6
ALB,Williams,11.0,0 days 00:01:21.718000,0 days 00:00:25.889000,0 days 00:00:28.545000,0 days 00:00:27.284000,MEDIUM,2.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,81.718,25.889,28.545,27.284,81.839,0.12099999999999511,81.718,0.0,-0.12099999999999511,82.378,82.378,0.0,63.0,0.1746031746031746,13.0,0.15384615384615385,4.0,121.0,0,0,0,1,0,1,0,0.0,2.0,0.0,12
ALB,Williams,12.0,0 days 00:01:21.558000,0 days 00:00:25.749000,0 days 00:00:28.450000,0 days 00:00:27.359000,MEDIUM,3.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,81.558,25.749,28.45,27.359,81.839,0.2809999999999917,81.718,-0.1599999999999966,-0.2809999999999917,82.278,82.378,-0.09999999999999432,63.0,0.19047619047619047,13.0,0.23076923076923078,9.0,144.0,0,0,0,1,0,1,0,0.0,3.0,0.0,12
ALB,Williams,13.0,0 days 00:01:21.491000,0 days 00:00:25.706000,0 days 00:00:28.457000,0 days 00:00:27.328000,MEDIUM,4.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,81.491,25.706,28.457,27.328,81.839,0.347999999999999,81.718,-0.22700000000000387,-0.347999999999999,82.271,82.378,-0.10699999999999932,63.0,0.20634920634920634,13.0,0.3076923076923077,16.0,169.0,0,0,0,1,0,1,0,0.0,4.0,0.0,12
ALB,Williams,14.0,0 days 00:01:21.839000,0 days 00:00:25.759000,0 days 00:00:28.592000,0 days 00:00:27.488000,MEDIUM,5.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,81.839,25.759,28.592,27.488,81.839,0.0,81.718,0.12099999999999511,0.0,82.679,82.378,0.30100000000000193,63.0,0.2222222222222222,13.0,0.38461538461538464,25.0,196.0,0,0,0,1,0,1,0,0.0,5.0,0.0,12
ALB,Williams,15.0,0 days 00:01:21.773000,0 days 00:00:25.750000,0 days 00:00:28.549000,0 days 00:00:27.474000,MEDIUM,6.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,81.773,25.75,28.549,27.474,81.839,0.0660000000000025,81.718,0.05499999999999261,-0.0660000000000025,82.673,82.378,0.2950000000000017,63.0,0.23809523809523808,13.0,0.46153846153846156,36.0,225.0,0,0,0,1,0,1,0,0.0,6.0,0.0,12
ALB,Williams,16.0,0 days 00:01:22.144000,0 days 00:00:25.938000,0 days 00:00:28.722000,0 days 00:00:27.484000,MEDIUM,7.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,82.144,25.938,28.722,27.484,81.839,0.3050000000000068,81.718,0.42600000000000193,0.3050000000000068,83.104,82.378,0.7259999999999991,63.0,0.25396825396825395,13.0,0.5384615384615384,49.0,256.0,0,0,0,1,0,1,0,0.0,7.0,0.0,12
ALB,Williams,17.0,0 days 00:01:22.410000,0 days 00:00:25.986000,0 days 00:00:28.823000,0 days 00:00:27.601000,MEDIUM,8.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,82.41,25.986,28.823,27.601,81.839,0.570999999999998,81.718,0.6919999999999931,0.570999999999998,83.42999999999999,82.378,1.0519999999999925,63.0,0.2698412698412698,13.0,0.6153846153846154,64.0,289.0,0,0,0,1,0,1,0,0.0,8.0,0.0,12
ALB,Williams,18.0,0 days 00:01:22.247000,0 days 00:00:25.874000,0 days 00:00:28.731000,0 days 00:00:27.642000,MEDIUM,9.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,82.247,25.874,28.731,27.642,81.839,0.40800000000000125,81.718,0.5289999999999964,0.40800000000000125,83.327,82.378,0.9489999999999981,63.0,0.2857142857142857,13.0,0.6923076923076923,81.0,324.0,0,0,0,1,0,1,0,0.0,9.0,0.0,12
ALB,Williams,19.0,0 days 00:01:22.579000,0 days 00:00:25.928000,0 days 00:00:28.802000,0 days 00:00:27.849000,MEDIUM,10.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,82.579,25.928,28.802,27.849,81.839,0.7399999999999949,81.718,0.86099999999999,0.7399999999999949,83.719,82.378,1.340999999999994,63.0,0.30158730158730157,13.0,0.7692307692307693,100.0,361.0,0,0,0,1,0,1,0,0.0,10.0,0.0,12
ALB,Williams,20.0,0 days 00:01:21.725000,0 days 00:00:25.599000,0 days 00:00:28.665000,0 days 00:00:27.461000,MEDIUM,11.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,81.725,25.599,28.665,27.461,81.839,0.11400000000000432,81.718,0.006999999999990791,-0.11400000000000432,82.925,82.378,0.546999999999997,63.0,0.31746031746031744,13.0,0.8461538461538461,121.0,400.0,0,0,0,1,0,1,0,0.0,11.0,0.0,12
ALB,Williams,21.0,0 days 00:01:22.335000,0 days 00:00:25.866000,0 days 00:00:28.768000,0 days 00:00:27.701000,MEDIUM,12.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,82.335,25.866,28.768,27.701,81.839,0.4959999999999951,81.718,0.6169999999999902,0.4959999999999951,83.595,82.378,1.2169999999999987,63.0,0.3333333333333333,13.0,0.9230769230769231,144.0,441.0,0,0,0,0,0,1,0,0.0,12.0,0.0,12
ALB,Williams,22.0,0 days 00:01:22.270000,0 days 00:00:25.889000,0 days 00:00:28.833000,0 days 00:00:27.548000,MEDIUM,13.0,3.0,,,1,20.0,False,2024,Emilia Romagna,R,82.27,25.889,28.833,27.548,81.839,0.4309999999999974,81.718,0.5519999999999925,0.4309999999999974,83.58999999999999,82.378,1.211999999999989,63.0,0.3492063492063492,13.0,1.0,169.0,484.0,0,0,0,0,0,1,0,0.0,13.0,0.0,12
ALB,Williams,25.0,0 days 00:01:25.644000,0 days 00:00:27.526000,0 days 00:00:30.345000,0 days 00:00:27.773000,MEDIUM,16.0,4.0,,,1,20.0,False,2024,Emilia Romagna,R,85.644,27.526,30.345,27.773,81.839,3.805000000000007,85.644,0.0,3.805000000000007,87.144,87.144,0.0,63.0,0.3968253968253968,18.0,0.8888888888888888,256.0,625.0,0,0,0,0,0,1,0,0.0,16.0,0.0,3
ALB,Williams,26.0,0 days 00:01:22.204000,0 days 00:00:25.986000,0 days 00:00:28.650000,0 days 00:00:27.568000,MEDIUM,17.0,4.0,,,1,20.0,False,2024,Emilia Romagna,R,82.204,25.986,28.65,27.568,81.839,0.3649999999999949,85.644,-3.440000000000012,0.3649999999999949,83.764,87.144,-3.3800000000000097,63.0,0.4126984126984127,18.0,0.9444444444444444,289.0,676.0,0,0,0,0,0,1,0,0.0,17.0,0.0,3
ALB,Williams,27.0,0 days 00:01:22.127000,0 days 00:00:26.008000,0 days 00:00:28.588000,0 days 00:00:27.531000,MEDIUM,18.0,4.0,,,1,20.0,False,2024,Emilia Romagna,R,82.127,26.008,28.588,27.531,81.839,0.2879999999999967,85.644,-3.51700000000001,0.2879999999999967,83.747,87.144,-3.3970000000000056,63.0,0.42857142857142855,18.0,1.0,324.0,729.0,0,0,0,0,0,1,0,0.0,18.0,0.0,3
ALB,Williams,30.0,0 days 00:01:21.354000,0 days 00:00:25.384000,0 days 00:00:28.574000,0 days 00:00:27.396000,MEDIUM,10.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.354,25.384,28.574,27.396,81.839,0.48499999999999943,81.354,0.0,-0.48499999999999943,83.154,83.154,0.0,63.0,0.47619047619047616,30.0,0.3333333333333333,100.0,900.0,0,0,0,0,0,1,0,0.0,10.0,0.0,21
ALB,Williams,31.0,0 days 00:01:21.949000,0 days 00:00:25.887000,0 days 00:00:28.576000,0 days 00:00:27.486000,MEDIUM,11.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.949,25.887,28.576,27.486,81.839,0.10999999999999943,81.354,0.5949999999999989,0.10999999999999943,83.809,83.154,0.6550000000000011,63.0,0.49206349206349204,30.0,0.36666666666666664,121.0,961.0,0,0,0,0,0,1,0,0.0,11.0,0.0,21
ALB,Williams,32.0,0 days 00:01:21.817000,0 days 00:00:25.845000,0 days 00:00:28.540000,0 days 00:00:27.432000,MEDIUM,12.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.817,25.845,28.54,27.432,81.839,0.02200000000000557,81.354,0.46299999999999386,-0.02200000000000557,83.737,83.154,0.5829999999999984,63.0,0.5079365079365079,30.0,0.4,144.0,1024.0,0,0,0,0,0,1,0,0.0,12.0,0.0,21
ALB,Williams,33.0,0 days 00:01:21.849000,0 days 00:00:25.923000,0 days 00:00:28.551000,0 days 00:00:27.375000,MEDIUM,13.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.849,25.923,28.551,27.375,81.839,0.010000000000005116,81.354,0.49500000000000455,0.010000000000005116,83.82900000000001,83.154,0.6750000000000114,63.0,0.5238095238095238,30.0,0.43333333333333335,169.0,1089.0,0,0,0,0,0,1,0,0.0,13.0,0.0,21
ALB,Williams,34.0,0 days 00:01:21.773000,0 days 00:00:25.815000,0 days 00:00:28.517000,0 days 00:00:27.441000,MEDIUM,14.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.773,25.815,28.517,27.441,81.839,0.0660000000000025,81.354,0.41899999999999693,-0.0660000000000025,83.813,83.154,0.659000000000006,63.0,0.5396825396825397,30.0,0.4666666666666667,196.0,1156.0,0,0,0,0,0,1,0,0.0,14.0,0.0,21
ALB,Williams,35.0,0 days 00:01:21.607000,0 days 00:00:25.843000,0 days 00:00:28.509000,0 days 00:00:27.255000,MEDIUM,15.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.607,25.843,28.509,27.255,81.839,0.23199999999999932,81.354,0.2530000000000001,-0.23199999999999932,83.707,83.154,0.5529999999999973,63.0,0.5555555555555556,30.0,0.5,225.0,1225.0,0,0,0,0,0,1,0,0.0,15.0,0.0,21
ALB,Williams,36.0,0 days 00:01:21.759000,0 days 00:00:25.831000,0 days 00:00:28.585000,0 days 00:00:27.343000,MEDIUM,16.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.759,25.831,28.585,27.343,81.839,0.0799999999999983,81.354,0.40500000000000114,-0.0799999999999983,83.919,83.154,0.7650000000000006,63.0,0.5714285714285714,30.0,0.5333333333333333,256.0,1296.0,0,0,0,0,0,1,0,0.0,16.0,0.0,21
ALB,Williams,37.0,0 days 00:01:21.670000,0 days 00:00:25.817000,0 days 00:00:28.544000,0 days 00:00:27.309000,MEDIUM,17.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.67,25.817,28.544,27.309,81.839,0.16899999999999693,81.354,0.3160000000000025,-0.16899999999999693,83.89,83.154,0.7360000000000042,63.0,0.5873015873015873,30.0,0.5666666666666667,289.0,1369.0,0,0,0,0,0,1,0,0.0,17.0,0.0,21
ALB,Williams,38.0,0 days 00:01:21.712000,0 days 00:00:25.828000,0 days 00:00:28.591000,0 days 00:00:27.293000,MEDIUM,18.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.712,25.828,28.591,27.293,81.839,0.12699999999999534,81.354,0.3580000000000041,-0.12699999999999534,83.992,83.154,0.8380000000000081,63.0,0.6031746031746031,30.0,0.6,324.0,1444.0,0,0,0,0,0,1,0,0.0,18.0,0.0,21
ALB,Williams,39.0,0 days 00:01:21.694000,0 days 00:00:25.790000,0 days 00:00:28.515000,0 days 00:00:27.389000,MEDIUM,19.0,5.0,,,1,20.0,False,2024,Emilia Romagna,R,81.694,25.79,28.515,27.389,81.839,0.14499999999999602,81.354,0.3400000000000034,-0.14499999999999602,84.034,83.154,0.8800000000000097,63.0,0.6190476190476191,30.0,0.6333333333333333,361.0,1521.0,0,0,0,0,0,1,0,0.0,19.0,0.0,21
