Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,2.0,0 days 00:01:37.553000,0 days 00:00:37.270000,0 days 00:00:30.174000,0 days 00:00:30.109000,MEDIUM,2.0,1.0,,,1,13.0,False,2024,Saudi Arabia,R,97.553,37.27,30.174,30.109,95.363,2.1899999999999977,97.553,0.0,2.1899999999999977,97.673,97.673,0.0,50.0,0.04,6.0,0.3333333333333333,4.0,4.0,1,0,0,1,0,1,0,0.0,2.0,0.0,5
ALB,Williams,3.0,0 days 00:01:35.986000,0 days 00:00:35.739000,0 days 00:00:30.029000,0 days 00:00:30.218000,MEDIUM,3.0,1.0,,,1,13.0,False,2024,Saudi Arabia,R,95.986,35.739,30.029,30.218,95.363,0.6230000000000047,97.553,-1.566999999999993,0.6230000000000047,96.16600000000001,97.673,-1.5069999999999908,50.0,0.06,6.0,0.5,9.0,9.0,1,0,0,1,0,1,0,0.0,3.0,0.0,5
ALB,Williams,4.0,0 days 00:01:35.553000,0 days 00:00:35.715000,0 days 00:00:29.935000,0 days 00:00:29.903000,MEDIUM,4.0,1.0,,,1,13.0,False,2024,Saudi Arabia,R,95.553,35.715,29.935,29.903,95.363,0.18999999999999773,97.553,-2.0,0.18999999999999773,95.79299999999999,97.673,-1.8800000000000097,50.0,0.08,6.0,0.6666666666666666,16.0,16.0,1,0,0,1,0,1,0,0.0,4.0,0.0,5
ALB,Williams,5.0,0 days 00:01:35.590000,0 days 00:00:35.622000,0 days 00:00:30.005000,0 days 00:00:29.963000,MEDIUM,5.0,1.0,,,1,13.0,False,2024,Saudi Arabia,R,95.59,35.622,30.005,29.963,95.363,0.22700000000000387,97.553,-1.9629999999999939,0.22700000000000387,95.89,97.673,-1.7830000000000013,50.0,0.1,6.0,0.8333333333333334,25.0,25.0,1,0,0,1,0,1,0,0.0,5.0,0.0,5
ALB,Williams,6.0,0 days 00:01:35.977000,0 days 00:00:35.791000,0 days 00:00:30.052000,0 days 00:00:30.134000,MEDIUM,6.0,1.0,,,12,12.0,False,2024,Saudi Arabia,R,95.977,35.791,30.052,30.134,95.363,0.6140000000000043,97.553,-1.5759999999999934,0.6140000000000043,96.337,97.673,-1.3359999999999985,50.0,0.12,6.0,1.0,36.0,36.0,1,0,0,1,0,1,0,0.0,6.0,0.0,5
ALB,Williams,11.0,0 days 00:01:36.232000,0 days 00:00:36.040000,0 days 00:00:30.082000,0 days 00:00:30.110000,HARD,4.0,2.0,,,1,15.0,False,2024,Saudi Arabia,R,96.232,36.04,30.082,30.11,95.363,0.8689999999999998,96.232,0.0,0.8689999999999998,96.892,96.892,0.0,50.0,0.22,43.0,0.09302325581395349,16.0,121.0,0,1,0,1,0,0,1,0.0,0.0,4.0,38
ALB,Williams,12.0,0 days 00:01:35.441000,0 days 00:00:35.514000,0 days 00:00:29.964000,0 days 00:00:29.963000,HARD,5.0,2.0,,,1,15.0,False,2024,Saudi Arabia,R,95.441,35.514,29.964,29.963,95.363,0.07800000000000296,96.232,-0.7909999999999968,0.07800000000000296,96.161,96.892,-0.7309999999999945,50.0,0.24,43.0,0.11627906976744186,25.0,144.0,0,1,0,1,0,0,1,0.0,0.0,5.0,38
ALB,Williams,13.0,0 days 00:01:35.213000,0 days 00:00:35.449000,0 days 00:00:29.919000,0 days 00:00:29.845000,HARD,6.0,2.0,,,1,15.0,False,2024,Saudi Arabia,R,95.213,35.449,29.919,29.845,95.363,0.15000000000000568,96.232,-1.0190000000000055,-0.15000000000000568,95.993,96.892,-0.8990000000000009,50.0,0.26,43.0,0.13953488372093023,36.0,169.0,0,1,0,1,0,0,1,0.0,0.0,6.0,38
ALB,Williams,14.0,0 days 00:01:35.181000,0 days 00:00:35.471000,0 days 00:00:29.892000,0 days 00:00:29.818000,HARD,7.0,2.0,,,1,15.0,False,2024,Saudi Arabia,R,95.181,35.471,29.892,29.818,95.363,0.18200000000000216,96.232,-1.051000000000002,-0.18200000000000216,96.021,96.892,-0.8709999999999951,50.0,0.28,43.0,0.16279069767441862,49.0,196.0,0,1,0,1,0,0,1,0.0,0.0,7.0,38
ALB,Williams,15.0,0 days 00:01:35.533000,0 days 00:00:35.647000,0 days 00:00:29.917000,0 days 00:00:29.969000,HARD,8.0,2.0,,,1,15.0,False,2024,Saudi Arabia,R,95.533,35.647,29.917,29.969,95.363,0.1700000000000017,96.232,-0.6989999999999981,0.1700000000000017,96.433,96.892,-0.458999999999989,50.0,0.3,43.0,0.18604651162790697,64.0,225.0,0,1,0,1,0,0,1,0.0,0.0,8.0,38
