Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,2.0,0 days 00:01:22.217000,0 days 00:00:24.657000,0 days 00:00:32.882000,0 days 00:00:24.678000,MEDIUM,2.0,1.0,,,1,20.0,False,2024,Spain,R,82.217,24.657,32.882,24.678,81.4245,0.792500000000004,82.217,0.0,0.792500000000004,82.337,82.337,0.0,66.0,0.030303030303030304,17.0,0.11764705882352941,4.0,4.0,1,0,0,1,0,1,0,0.0,2.0,0.0,16
ALB,Williams,3.0,0 days 00:01:22.171000,0 days 00:00:24.344000,0 days 00:00:32.927000,0 days 00:00:24.900000,MEDIUM,3.0,1.0,,,1,20.0,False,2024,Spain,R,82.171,24.344,32.927,24.9,81.4245,0.7465000000000117,82.217,-0.04599999999999227,0.7465000000000117,82.35100000000001,82.337,0.014000000000010004,66.0,0.045454545454545456,17.0,0.17647058823529413,9.0,9.0,1,0,0,1,0,1,0,0.0,3.0,0.0,16
ALB,Williams,4.0,0 days 00:01:22.278000,0 days 00:00:24.318000,0 days 00:00:33.118000,0 days 00:00:24.842000,MEDIUM,4.0,1.0,,,1,20.0,False,2024,Spain,R,82.278,24.318,33.118,24.842,81.4245,0.853500000000011,82.217,0.06100000000000705,0.853500000000011,82.518,82.337,0.18099999999999739,66.0,0.06060606060606061,17.0,0.23529411764705882,16.0,16.0,1,0,0,1,0,1,0,0.0,4.0,0.0,16
ALB,Williams,5.0,0 days 00:01:22.775000,0 days 00:00:24.396000,0 days 00:00:33.422000,0 days 00:00:24.957000,MEDIUM,5.0,1.0,,,1,20.0,False,2024,Spain,R,82.775,24.396,33.422,24.957,81.4245,1.350500000000011,82.217,0.5580000000000069,1.350500000000011,83.075,82.337,0.7379999999999995,66.0,0.07575757575757576,17.0,0.29411764705882354,25.0,25.0,1,0,0,1,0,1,0,0.0,5.0,0.0,16
ALB,Williams,6.0,0 days 00:01:22.498000,0 days 00:00:24.163000,0 days 00:00:33.420000,0 days 00:00:24.915000,MEDIUM,6.0,1.0,,,1,19.0,False,2024,Spain,R,82.498,24.163,33.42,24.915,81.4245,1.07350000000001,82.217,0.2810000000000059,1.07350000000001,82.858,82.337,0.5210000000000008,66.0,0.09090909090909091,17.0,0.35294117647058826,36.0,36.0,1,0,0,1,0,1,0,0.0,6.0,0.0,16
ALB,Williams,7.0,0 days 00:01:23.531000,0 days 00:00:24.418000,0 days 00:00:33.969000,0 days 00:00:25.144000,MEDIUM,7.0,1.0,,,1,19.0,False,2024,Spain,R,83.531,24.418,33.969,25.144,81.4245,2.106500000000011,82.217,1.3140000000000072,2.106500000000011,83.95100000000001,82.337,1.6140000000000043,66.0,0.10606060606060606,17.0,0.4117647058823529,49.0,49.0,1,0,0,1,0,1,0,0.0,7.0,0.0,16
ALB,Williams,8.0,0 days 00:01:23.225000,0 days 00:00:23.868000,0 days 00:00:34.323000,0 days 00:00:25.034000,MEDIUM,8.0,1.0,,,1,19.0,False,2024,Spain,R,83.225,23.868,34.323,25.034,81.4245,1.8004999999999995,82.217,1.0079999999999956,1.8004999999999995,83.705,82.337,1.367999999999995,66.0,0.12121212121212122,17.0,0.47058823529411764,64.0,64.0,1,0,0,1,0,1,0,0.0,8.0,0.0,16
ALB,Williams,9.0,0 days 00:01:22.838000,0 days 00:00:24.205000,0 days 00:00:33.628000,0 days 00:00:25.005000,MEDIUM,9.0,1.0,,,1,17.0,False,2024,Spain,R,82.838,24.205,33.628,25.005,81.4245,1.413499999999999,82.217,0.6209999999999951,1.413499999999999,83.378,82.337,1.0409999999999968,66.0,0.13636363636363635,17.0,0.5294117647058824,81.0,81.0,1,0,0,1,0,1,0,0.0,9.0,0.0,16
ALB,Williams,10.0,0 days 00:01:22.787000,0 days 00:00:24.420000,0 days 00:00:33.548000,0 days 00:00:24.819000,MEDIUM,10.0,1.0,,,1,17.0,False,2024,Spain,R,82.787,24.42,33.548,24.819,81.4245,1.3625000000000114,82.217,0.5700000000000074,1.3625000000000114,83.387,82.337,1.0499999999999972,66.0,0.15151515151515152,17.0,0.5882352941176471,100.0,100.0,1,0,0,1,0,1,0,0.0,10.0,0.0,16
ALB,Williams,11.0,0 days 00:01:22.421000,0 days 00:00:24.237000,0 days 00:00:33.353000,0 days 00:00:24.831000,MEDIUM,11.0,1.0,,,1,16.0,False,2024,Spain,R,82.421,24.237,33.353,24.831,81.4245,0.9965000000000117,82.217,0.20400000000000773,0.9965000000000117,83.081,82.337,0.7439999999999998,66.0,0.16666666666666666,17.0,0.6470588235294118,121.0,121.0,1,0,0,1,0,1,0,0.0,11.0,0.0,16
