Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,1.0,0 days 00:01:46.629000,,0 days 00:00:44.973000,0 days 00:00:24.627000,SOFT,1.0,1.0,,,1,14.0,False,2025,Bahrain,R,106.629,,44.973,24.627,98.698,7.931000000000012,106.629,0.0,7.931000000000012,106.68900000000001,106.68900000000001,0.0,57.0,0.017543859649122806,15.0,0.06666666666666667,1.0,1.0,1,0,0,1,1,0,0,1.0,0.0,0.0,15
ALB,Williams,2.0,0 days 00:01:39.821000,0 days 00:00:31.871000,0 days 00:00:43.578000,0 days 00:00:24.372000,SOFT,2.0,1.0,,,1,14.0,False,2025,Bahrain,R,99.821,31.871,43.578,24.372,98.698,1.1230000000000047,106.629,-6.808000000000007,1.1230000000000047,99.941,106.68900000000001,-6.748000000000005,57.0,0.03508771929824561,15.0,0.13333333333333333,4.0,4.0,1,0,0,1,1,0,0,2.0,0.0,0.0,15
ALB,Williams,3.0,0 days 00:01:38.699000,0 days 00:00:31.043000,0 days 00:00:43.288000,0 days 00:00:24.368000,SOFT,3.0,1.0,,,1,13.0,False,2025,Bahrain,R,98.699,31.043,43.288,24.368,98.698,0.0010000000000047748,106.629,-7.930000000000007,0.0010000000000047748,98.879,106.68900000000001,-7.810000000000002,57.0,0.05263157894736842,15.0,0.2,9.0,9.0,1,0,0,1,1,0,0,3.0,0.0,0.0,15
ALB,Williams,4.0,0 days 00:01:39.056000,0 days 00:00:31.340000,0 days 00:00:43.310000,0 days 00:00:24.406000,SOFT,4.0,1.0,,,1,13.0,False,2025,Bahrain,R,99.056,31.34,43.31,24.406,98.698,0.3580000000000041,106.629,-7.5730000000000075,0.3580000000000041,99.29599999999999,106.68900000000001,-7.393000000000015,57.0,0.07017543859649122,15.0,0.26666666666666666,16.0,16.0,1,0,0,1,1,0,0,4.0,0.0,0.0,15
ALB,Williams,5.0,0 days 00:01:39.257000,0 days 00:00:31.361000,0 days 00:00:43.465000,0 days 00:00:24.431000,SOFT,5.0,1.0,,,1,13.0,False,2025,Bahrain,R,99.257,31.361,43.465,24.431,98.698,0.5590000000000117,106.629,-7.372,0.5590000000000117,99.557,106.68900000000001,-7.132000000000005,57.0,0.08771929824561403,15.0,0.3333333333333333,25.0,25.0,1,0,0,1,1,0,0,5.0,0.0,0.0,15
ALB,Williams,6.0,0 days 00:01:39.263000,0 days 00:00:31.431000,0 days 00:00:43.392000,0 days 00:00:24.440000,SOFT,6.0,1.0,,,1,13.0,False,2025,Bahrain,R,99.263,31.431,43.392,24.44,98.698,0.5650000000000119,106.629,-7.366,0.5650000000000119,99.623,106.68900000000001,-7.0660000000000025,57.0,0.10526315789473684,15.0,0.4,36.0,36.0,1,0,0,1,1,0,0,6.0,0.0,0.0,15
ALB,Williams,7.0,0 days 00:01:39.565000,0 days 00:00:31.535000,0 days 00:00:43.606000,0 days 00:00:24.424000,SOFT,7.0,1.0,,,1,13.0,False,2025,Bahrain,R,99.565,31.535,43.606,24.424,98.698,0.8670000000000044,106.629,-7.064000000000007,0.8670000000000044,99.985,106.68900000000001,-6.704000000000008,57.0,0.12280701754385964,15.0,0.4666666666666667,49.0,49.0,1,0,0,1,1,0,0,7.0,0.0,0.0,15
ALB,Williams,8.0,0 days 00:01:39.918000,0 days 00:00:31.565000,0 days 00:00:43.680000,0 days 00:00:24.673000,SOFT,8.0,1.0,,,1,12.0,False,2025,Bahrain,R,99.918,31.565,43.68,24.673,98.698,1.220000000000013,106.629,-6.7109999999999985,1.220000000000013,100.39800000000001,106.68900000000001,-6.290999999999997,57.0,0.14035087719298245,15.0,0.5333333333333333,64.0,64.0,1,0,0,1,1,0,0,8.0,0.0,0.0,15
ALB,Williams,9.0,0 days 00:01:39.735000,0 days 00:00:31.550000,0 days 00:00:43.603000,0 days 00:00:24.582000,SOFT,9.0,1.0,,,1,11.0,False,2025,Bahrain,R,99.735,31.55,43.603,24.582,98.698,1.0370000000000061,106.629,-6.8940000000000055,1.0370000000000061,100.275,106.68900000000001,-6.4140000000000015,57.0,0.15789473684210525,15.0,0.6,81.0,81.0,1,0,0,1,1,0,0,9.0,0.0,0.0,15
ALB,Williams,10.0,0 days 00:01:40.089000,0 days 00:00:31.741000,0 days 00:00:43.819000,0 days 00:00:24.529000,SOFT,10.0,1.0,,,1,11.0,False,2025,Bahrain,R,100.089,31.741,43.819,24.529,98.698,1.3910000000000053,106.629,-6.540000000000006,1.3910000000000053,100.689,106.68900000000001,-6.000000000000014,57.0,0.17543859649122806,15.0,0.6666666666666666,100.0,100.0,1,0,0,1,1,0,0,10.0,0.0,0.0,15
ALB,Williams,11.0,0 days 00:01:39.843000,0 days 00:00:31.566000,0 days 00:00:43.642000,0 days 00:00:24.635000,SOFT,11.0,1.0,,,1,8.0,False,2025,Bahrain,R,99.843,31.566,43.642,24.635,98.698,1.1450000000000102,106.629,-6.786000000000001,1.1450000000000102,100.503,106.68900000000001,-6.186000000000007,57.0,0.19298245614035087,15.0,0.7333333333333333,121.0,121.0,1,0,0,1,1,0,0,11.0,0.0,0.0,15
ALB,Williams,12.0,0 days 00:01:39.940000,0 days 00:00:31.768000,0 days 00:00:43.616000,0 days 00:00:24.556000,SOFT,12.0,1.0,,,1,7.0,False,2025,Bahrain,R,99.94,31.768,43.616,24.556,98.698,1.2420000000000044,106.629,-6.689000000000007,1.2420000000000044,100.66,106.68900000000001,-6.029000000000011,57.0,0.21052631578947367,15.0,0.8,144.0,144.0,1,0,0,1,1,0,0,12.0,0.0,0.0,15
ALB,Williams,13.0,0 days 00:01:40.144000,0 days 00:00:31.804000,0 days 00:00:43.771000,0 days 00:00:24.569000,SOFT,13.0,1.0,,,1,6.0,False,2025,Bahrain,R,100.144,31.804,43.771,24.569,98.698,1.4460000000000122,106.629,-6.484999999999999,1.4460000000000122,100.924,106.68900000000001,-5.765000000000001,57.0,0.22807017543859648,15.0,0.8666666666666667,169.0,169.0,1,0,0,1,1,0,0,13.0,0.0,0.0,15
ALB,Williams,14.0,0 days 00:01:40.326000,0 days 00:00:31.819000,0 days 00:00:43.698000,0 days 00:00:24.809000,SOFT,14.0,1.0,,,1,4.0,False,2025,Bahrain,R,100.326,31.819,43.698,24.809,98.698,1.6280000000000001,106.629,-6.3030000000000115,1.6280000000000001,101.166,106.68900000000001,-5.52300000000001,57.0,0.24561403508771928,15.0,0.9333333333333333,196.0,196.0,1,0,0,1,1,0,0,14.0,0.0,0.0,15
ALB,Williams,15.0,0 days 00:01:40.821000,0 days 00:00:31.858000,0 days 00:00:44.173000,0 days 00:00:24.790000,SOFT,15.0,1.0,,,1,5.0,False,2025,Bahrain,R,100.821,31.858,44.173,24.79,98.698,2.1230000000000047,106.629,-5.808000000000007,2.1230000000000047,101.721,106.68900000000001,-4.9680000000000035,57.0,0.2631578947368421,15.0,1.0,225.0,225.0,1,0,0,1,1,0,0,15.0,0.0,0.0,15
ALB,Williams,18.0,0 days 00:01:37.209000,0 days 00:00:31.066000,0 days 00:00:42.371000,0 days 00:00:23.772000,HARD,2.0,2.0,,,1,16.0,False,2025,Bahrain,R,97.209,31.066,42.371,23.772,98.698,1.48899999999999,97.209,0.0,-1.48899999999999,98.289,98.289,0.0,57.0,0.3157894736842105,15.0,0.13333333333333333,4.0,324.0,0,1,0,1,0,0,1,0.0,0.0,2.0,14
ALB,Williams,19.0,0 days 00:01:38.209000,0 days 00:00:31.077000,0 days 00:00:42.808000,0 days 00:00:24.324000,HARD,3.0,2.0,,,1,16.0,False,2025,Bahrain,R,98.209,31.077,42.808,24.324,98.698,0.4889999999999901,97.209,1.0,-0.4889999999999901,99.349,98.289,1.0600000000000023,57.0,0.3333333333333333,15.0,0.2,9.0,361.0,0,1,0,0,0,0,1,0.0,0.0,3.0,14
ALB,Williams,20.0,0 days 00:01:37.673000,0 days 00:00:30.867000,0 days 00:00:42.721000,0 days 00:00:24.085000,HARD,4.0,2.0,,,1,15.0,False,2025,Bahrain,R,97.673,30.867,42.721,24.085,98.698,1.0249999999999915,97.209,0.46399999999999864,-1.0249999999999915,98.873,98.289,0.5840000000000032,57.0,0.3508771929824561,15.0,0.26666666666666666,16.0,400.0,0,1,0,0,0,0,1,0.0,0.0,4.0,14
ALB,Williams,21.0,0 days 00:01:38.047000,0 days 00:00:31.264000,0 days 00:00:42.725000,0 days 00:00:24.058000,HARD,5.0,2.0,,,1,15.0,False,2025,Bahrain,R,98.047,31.264,42.725,24.058,98.698,0.6509999999999962,97.209,0.8379999999999939,-0.6509999999999962,99.307,98.289,1.0180000000000007,57.0,0.3684210526315789,15.0,0.3333333333333333,25.0,441.0,0,1,0,0,0,0,1,0.0,0.0,5.0,14
ALB,Williams,22.0,0 days 00:01:38.474000,0 days 00:00:31.259000,0 days 00:00:43.003000,0 days 00:00:24.212000,HARD,6.0,2.0,,,1,15.0,False,2025,Bahrain,R,98.474,31.259,43.003,24.212,98.698,0.22399999999998954,97.209,1.2650000000000006,-0.22399999999998954,99.794,98.289,1.5049999999999955,57.0,0.38596491228070173,15.0,0.4,36.0,484.0,0,1,0,0,0,0,1,0.0,0.0,6.0,14
