Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,25.0,0 days 00:01:32.076000,0 days 00:00:31.323000,0 days 00:00:35.056000,0 days 00:00:25.697000,MEDIUM,1.0,1.0,,,1,5.0,False,2025,Miami,R,92.076,31.323,35.056,25.697,91.073,1.0030000000000001,92.076,0.0,1.0030000000000001,93.576,93.576,0.0,57.0,0.43859649122807015,8.0,0.125,1.0,625.0,1,0,0,0,0,1,0,0.0,1.0,0.0,5
ALB,Williams,28.0,0 days 00:01:38.254000,0 days 00:00:30.954000,0 days 00:00:34.782000,0 days 00:00:32.518000,MEDIUM,4.0,1.0,,,16,8.0,False,2025,Miami,R,98.254,30.954,34.782,32.518,91.073,7.181000000000012,92.076,6.1780000000000115,7.181000000000012,99.93400000000001,93.576,6.358000000000018,57.0,0.49122807017543857,8.0,0.5,16.0,784.0,1,0,0,0,0,1,0,0.0,4.0,0.0,5
ALB,Williams,30.0,0 days 00:01:31.203000,0 days 00:00:31.274000,0 days 00:00:34.422000,0 days 00:00:25.507000,MEDIUM,6.0,1.0,,,1,6.0,False,2025,Miami,R,91.203,31.274,34.422,25.507,91.073,0.13000000000000966,92.076,-0.8729999999999905,0.13000000000000966,93.003,93.576,-0.5729999999999933,57.0,0.5263157894736842,8.0,0.75,36.0,900.0,1,0,0,0,0,1,0,0.0,6.0,0.0,5
ALB,Williams,31.0,0 days 00:01:31.071000,0 days 00:00:30.555000,0 days 00:00:34.786000,0 days 00:00:25.730000,MEDIUM,7.0,1.0,,,1,5.0,False,2025,Miami,R,91.071,30.555,34.786,25.73,91.073,0.001999999999995339,92.076,-1.0049999999999955,-0.001999999999995339,92.931,93.576,-0.644999999999996,57.0,0.543859649122807,8.0,0.875,49.0,961.0,1,0,0,0,0,1,0,0.0,7.0,0.0,5
ALB,Williams,32.0,0 days 00:01:31.514000,0 days 00:00:30.927000,0 days 00:00:34.703000,0 days 00:00:25.884000,MEDIUM,8.0,1.0,,,1,5.0,False,2025,Miami,R,91.514,30.927,34.703,25.884,91.073,0.4410000000000025,92.076,-0.5619999999999976,0.4410000000000025,93.434,93.576,-0.1419999999999959,57.0,0.5614035087719298,8.0,1.0,64.0,1024.0,1,0,0,0,0,1,0,0.0,8.0,0.0,5
ALB,Williams,34.0,0 days 00:01:30.608000,0 days 00:00:30.687000,0 days 00:00:34.381000,0 days 00:00:25.540000,HARD,2.0,2.0,,,1,5.0,False,2025,Miami,R,90.608,30.687,34.381,25.54,91.073,0.4649999999999892,90.608,0.0,-0.4649999999999892,92.64800000000001,92.64800000000001,0.0,57.0,0.5964912280701754,25.0,0.08,4.0,1156.0,0,1,0,0,0,0,1,0.0,0.0,2.0,24
ALB,Williams,35.0,0 days 00:01:31.143000,0 days 00:00:30.875000,0 days 00:00:34.679000,0 days 00:00:25.589000,HARD,3.0,2.0,,,1,5.0,False,2025,Miami,R,91.143,30.875,34.679,25.589,91.073,0.07000000000000739,90.608,0.5349999999999966,0.07000000000000739,93.243,92.64800000000001,0.5949999999999847,57.0,0.6140350877192983,25.0,0.12,9.0,1225.0,0,1,0,0,0,0,1,0.0,0.0,3.0,24
ALB,Williams,36.0,0 days 00:01:30.799000,0 days 00:00:30.642000,0 days 00:00:34.531000,0 days 00:00:25.626000,HARD,4.0,2.0,,,1,5.0,False,2025,Miami,R,90.799,30.642,34.531,25.626,91.073,0.2739999999999867,90.608,0.1910000000000025,-0.2739999999999867,92.959,92.64800000000001,0.31099999999999284,57.0,0.631578947368421,25.0,0.16,16.0,1296.0,0,1,0,0,0,0,1,0.0,0.0,4.0,24
ALB,Williams,37.0,0 days 00:01:31.111000,0 days 00:00:30.777000,0 days 00:00:34.680000,0 days 00:00:25.654000,HARD,5.0,2.0,,,1,5.0,False,2025,Miami,R,91.111,30.777,34.68,25.654,91.073,0.038000000000010914,90.608,0.5030000000000001,0.038000000000010914,93.331,92.64800000000001,0.6829999999999927,57.0,0.6491228070175439,25.0,0.2,25.0,1369.0,0,1,0,0,0,0,1,0.0,0.0,5.0,24
ALB,Williams,38.0,0 days 00:01:31.363000,0 days 00:00:30.941000,0 days 00:00:34.730000,0 days 00:00:25.692000,HARD,6.0,2.0,,,1,5.0,False,2025,Miami,R,91.363,30.941,34.73,25.692,91.073,0.29000000000000625,90.608,0.7549999999999955,0.29000000000000625,93.643,92.64800000000001,0.9949999999999903,57.0,0.6666666666666666,25.0,0.24,36.0,1444.0,0,1,1,0,0,0,1,0.0,0.0,6.0,24
ALB,Williams,39.0,0 days 00:01:31.351000,0 days 00:00:30.986000,0 days 00:00:34.745000,0 days 00:00:25.620000,HARD,7.0,2.0,,,1,5.0,False,2025,Miami,R,91.351,30.986,34.745,25.62,91.073,0.2780000000000058,90.608,0.742999999999995,0.2780000000000058,93.691,92.64800000000001,1.0429999999999922,57.0,0.6842105263157895,25.0,0.28,49.0,1521.0,0,1,1,0,0,0,1,0.0,0.0,7.0,24
ALB,Williams,40.0,0 days 00:01:31.181000,0 days 00:00:30.830000,0 days 00:00:34.690000,0 days 00:00:25.661000,HARD,8.0,2.0,,,1,5.0,False,2025,Miami,R,91.181,30.83,34.69,25.661,91.073,0.10800000000000409,90.608,0.5729999999999933,0.10800000000000409,93.581,92.64800000000001,0.9329999999999927,57.0,0.7017543859649122,25.0,0.32,64.0,1600.0,0,1,1,0,0,0,1,0.0,0.0,8.0,24
