Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALB,Williams,5.0,0 days 00:01:20.465000,0 days 00:00:21.014000,0 days 00:00:38.074000,0 days 00:00:21.377000,MEDIUM,9.0,1.0,,,1,10.0,False,2025,Monaco,R,80.465,21.014,38.074,21.377,77.3265,3.1385000000000076,80.465,0.0,3.1385000000000076,80.765,80.765,0.0,78.0,0.0641025641025641,35.0,0.2571428571428571,81.0,25.0,1,0,0,1,0,1,0,0.0,9.0,0.0,27
ALB,Williams,6.0,0 days 00:01:21.426000,0 days 00:00:21.354000,0 days 00:00:38.432000,0 days 00:00:21.640000,MEDIUM,10.0,1.0,,,1,10.0,False,2025,Monaco,R,81.426,21.354,38.432,21.64,77.3265,4.099500000000006,80.465,0.9609999999999985,4.099500000000006,81.786,80.765,1.0210000000000008,78.0,0.07692307692307693,35.0,0.2857142857142857,100.0,36.0,1,0,0,1,0,1,0,0.0,10.0,0.0,27
ALB,Williams,7.0,0 days 00:01:21.287000,0 days 00:00:21.272000,0 days 00:00:38.715000,0 days 00:00:21.300000,MEDIUM,11.0,1.0,,,1,10.0,False,2025,Monaco,R,81.287,21.272,38.715,21.3,77.3265,3.9605000000000103,80.465,0.8220000000000027,3.9605000000000103,81.70700000000001,80.765,0.9420000000000073,78.0,0.08974358974358974,35.0,0.3142857142857143,121.0,49.0,1,0,0,1,0,1,0,0.0,11.0,0.0,27
ALB,Williams,8.0,0 days 00:01:20.471000,0 days 00:00:21.348000,0 days 00:00:37.673000,0 days 00:00:21.450000,MEDIUM,12.0,1.0,,,12,10.0,False,2025,Monaco,R,80.471,21.348,37.673,21.45,77.3265,3.144500000000008,80.465,0.006000000000000227,3.144500000000008,80.95100000000001,80.765,0.18600000000000705,78.0,0.10256410256410256,35.0,0.34285714285714286,144.0,64.0,1,0,0,1,0,1,0,0.0,12.0,0.0,27
ALB,Williams,9.0,0 days 00:01:24.151000,0 days 00:00:21.405000,0 days 00:00:40.877000,0 days 00:00:21.869000,MEDIUM,13.0,1.0,,,2,10.0,False,2025,Monaco,R,84.151,21.405,40.877,21.869,77.3265,6.8245000000000005,80.465,3.685999999999993,6.8245000000000005,84.691,80.765,3.926000000000002,78.0,0.11538461538461539,35.0,0.37142857142857144,169.0,81.0,1,0,0,1,0,1,0,0.0,13.0,0.0,27
ALB,Williams,10.0,0 days 00:01:21.528000,0 days 00:00:21.435000,0 days 00:00:38.773000,0 days 00:00:21.320000,MEDIUM,14.0,1.0,,,2,10.0,False,2025,Monaco,R,81.528,21.435,38.773,21.32,77.3265,4.20150000000001,80.465,1.0630000000000024,4.20150000000001,82.128,80.765,1.3629999999999995,78.0,0.1282051282051282,35.0,0.4,196.0,100.0,1,0,0,1,0,1,0,0.0,14.0,0.0,27
ALB,Williams,11.0,0 days 00:01:19.447000,0 days 00:00:21.057000,0 days 00:00:37.217000,0 days 00:00:21.173000,MEDIUM,15.0,1.0,,,21,10.0,False,2025,Monaco,R,79.447,21.057,37.217,21.173,77.3265,2.120500000000007,80.465,-1.0180000000000007,2.120500000000007,80.107,80.765,-0.6580000000000013,78.0,0.14102564102564102,35.0,0.42857142857142855,225.0,121.0,1,0,0,1,0,1,0,0.0,15.0,0.0,27
ALB,Williams,12.0,0 days 00:01:19.660000,0 days 00:00:21.127000,0 days 00:00:37.603000,0 days 00:00:20.930000,MEDIUM,16.0,1.0,,,1,10.0,False,2025,Monaco,R,79.66,21.127,37.603,20.93,77.3265,2.333500000000001,80.465,-0.8050000000000068,2.333500000000001,80.38,80.765,-0.3850000000000051,78.0,0.15384615384615385,35.0,0.45714285714285713,256.0,144.0,1,0,0,1,0,1,0,0.0,16.0,0.0,27
ALB,Williams,13.0,0 days 00:01:19.244000,0 days 00:00:21.144000,0 days 00:00:37.200000,0 days 00:00:20.900000,MEDIUM,17.0,1.0,,,1,10.0,False,2025,Monaco,R,79.244,21.144,37.2,20.9,77.3265,1.917500000000004,80.465,-1.2210000000000036,1.917500000000004,80.024,80.765,-0.7409999999999997,78.0,0.16666666666666666,35.0,0.4857142857142857,289.0,169.0,1,0,0,1,0,1,0,0.0,17.0,0.0,27
ALB,Williams,14.0,0 days 00:01:19.817000,0 days 00:00:21.334000,0 days 00:00:37.341000,0 days 00:00:21.142000,MEDIUM,18.0,1.0,,,1,10.0,False,2025,Monaco,R,79.817,21.334,37.341,21.142,77.3265,2.4904999999999973,80.465,-0.6480000000000103,2.4904999999999973,80.657,80.765,-0.10800000000000409,78.0,0.1794871794871795,35.0,0.5142857142857142,324.0,196.0,1,0,0,1,0,1,0,0.0,18.0,0.0,27
