Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median,stint_baseline_lap_time,lap_time_delta_from_stint_start,normalized_lap_time,fuel_adjusted_lap_time,stint_baseline_fuel_adjusted_lap_time,fuel_adjusted_degradation_delta,race_max_lap,race_phase,stint_max_tyre_life,stint_progress,tyre_life_squared,lap_number_squared,is_first_stint,is_second_stint,is_late_race,is_early_race,is_soft,is_medium,is_hard,soft_tyre_life,medium_tyre_life,hard_tyre_life,stint_lap_count
ALO,Aston Martin,1.0,0 days 00:01:47.230000,,0 days 00:00:31.309000,0 days 00:00:44.412000,HARD,1.0,1.0,,,12,10.0,False,2026,China,R,107.23,,31.309,44.412,100.792,6.438000000000002,107.23,0.0,6.438000000000002,107.29,107.29,0.0,56.0,0.017857142857142856,30.0,0.03333333333333333,1.0,1.0,1,0,0,1,0,0,1,0.0,0.0,1.0,26
ALO,Aston Martin,2.0,0 days 00:01:42.291000,0 days 00:00:26.719000,0 days 00:00:31.646000,0 days 00:00:43.926000,HARD,2.0,1.0,,,1,13.0,False,2026,China,R,102.291,26.719,31.646,43.926,100.792,1.4989999999999952,107.23,-4.939000000000007,1.4989999999999952,102.411,107.29,-4.879000000000005,56.0,0.03571428571428571,30.0,0.06666666666666667,4.0,4.0,1,0,0,1,0,0,1,0.0,0.0,2.0,26
ALO,Aston Martin,3.0,0 days 00:01:41.588000,0 days 00:00:26.600000,0 days 00:00:31.151000,0 days 00:00:43.837000,HARD,3.0,1.0,,,1,14.0,False,2026,China,R,101.588,26.6,31.151,43.837,100.792,0.7959999999999923,107.23,-5.64200000000001,0.7959999999999923,101.768,107.29,-5.522000000000006,56.0,0.05357142857142857,30.0,0.1,9.0,9.0,1,0,0,1,0,0,1,0.0,0.0,3.0,26
ALO,Aston Martin,4.0,0 days 00:01:40.471000,0 days 00:00:26.212000,0 days 00:00:30.810000,0 days 00:00:43.449000,HARD,4.0,1.0,,,1,14.0,False,2026,China,R,100.471,26.212,30.81,43.449,100.792,0.32099999999999795,107.23,-6.759,-0.32099999999999795,100.711,107.29,-6.579000000000008,56.0,0.07142857142857142,30.0,0.13333333333333333,16.0,16.0,1,0,0,1,0,0,1,0.0,0.0,4.0,26
ALO,Aston Martin,5.0,0 days 00:01:41.554000,0 days 00:00:26.535000,0 days 00:00:31.007000,0 days 00:00:44.012000,HARD,5.0,1.0,,,1,14.0,False,2026,China,R,101.554,26.535,31.007,44.012,100.792,0.7620000000000005,107.23,-5.676000000000002,0.7620000000000005,101.854,107.29,-5.436000000000007,56.0,0.08928571428571429,30.0,0.16666666666666666,25.0,25.0,1,0,0,1,0,0,1,0.0,0.0,5.0,26
ALO,Aston Martin,6.0,0 days 00:01:41.824000,0 days 00:00:26.393000,0 days 00:00:31.047000,0 days 00:00:44.384000,HARD,6.0,1.0,,,1,15.0,False,2026,China,R,101.824,26.393,31.047,44.384,100.792,1.0319999999999965,107.23,-5.406000000000006,1.0319999999999965,102.184,107.29,-5.106000000000009,56.0,0.10714285714285714,30.0,0.2,36.0,36.0,1,0,0,1,0,0,1,0.0,0.0,6.0,26
ALO,Aston Martin,7.0,0 days 00:01:41.659000,0 days 00:00:26.579000,0 days 00:00:31.303000,0 days 00:00:43.777000,HARD,7.0,1.0,,,1,15.0,False,2026,China,R,101.659,26.579,31.303,43.777,100.792,0.8670000000000044,107.23,-5.570999999999998,0.8670000000000044,102.07900000000001,107.29,-5.2109999999999985,56.0,0.125,30.0,0.23333333333333334,49.0,49.0,1,0,0,1,0,0,1,0.0,0.0,7.0,26
ALO,Aston Martin,8.0,0 days 00:01:41.113000,0 days 00:00:26.389000,0 days 00:00:31.171000,0 days 00:00:43.553000,HARD,8.0,1.0,,,1,15.0,False,2026,China,R,101.113,26.389,31.171,43.553,100.792,0.32099999999999795,107.23,-6.117000000000004,0.32099999999999795,101.593,107.29,-5.697000000000003,56.0,0.14285714285714285,30.0,0.26666666666666666,64.0,64.0,1,0,0,1,0,0,1,0.0,0.0,8.0,26
ALO,Aston Martin,9.0,0 days 00:01:41.631000,0 days 00:00:26.658000,0 days 00:00:31.460000,0 days 00:00:43.513000,HARD,9.0,1.0,,,1,15.0,False,2026,China,R,101.631,26.658,31.46,43.513,100.792,0.8389999999999986,107.23,-5.599000000000004,0.8389999999999986,102.171,107.29,-5.119,56.0,0.16071428571428573,30.0,0.3,81.0,81.0,1,0,0,1,0,0,1,0.0,0.0,9.0,26
ALO,Aston Martin,14.0,0 days 00:01:43.500000,0 days 00:00:27.411000,0 days 00:00:31.734000,0 days 00:00:44.355000,HARD,14.0,1.0,,,1,16.0,False,2026,China,R,103.5,27.411,31.734,44.355,100.792,2.7079999999999984,107.23,-3.730000000000004,2.7079999999999984,104.34,107.29,-2.950000000000003,56.0,0.25,30.0,0.4666666666666667,196.0,196.0,1,0,0,1,0,0,1,0.0,0.0,14.0,26
ALO,Aston Martin,15.0,0 days 00:01:41.183000,0 days 00:00:26.240000,0 days 00:00:30.898000,0 days 00:00:44.045000,HARD,15.0,1.0,,,1,17.0,False,2026,China,R,101.183,26.24,30.898,44.045,100.792,0.39100000000000534,107.23,-6.046999999999997,0.39100000000000534,102.08300000000001,107.29,-5.206999999999994,56.0,0.26785714285714285,30.0,0.5,225.0,225.0,1,0,0,1,0,0,1,0.0,0.0,15.0,26
ALO,Aston Martin,16.0,0 days 00:01:40.260000,0 days 00:00:26.131000,0 days 00:00:30.815000,0 days 00:00:43.314000,HARD,16.0,1.0,,,1,17.0,False,2026,China,R,100.26,26.131,30.815,43.314,100.792,0.5319999999999965,107.23,-6.969999999999999,-0.5319999999999965,101.22,107.29,-6.070000000000007,56.0,0.2857142857142857,30.0,0.5333333333333333,256.0,256.0,1,0,0,1,0,0,1,0.0,0.0,16.0,26
ALO,Aston Martin,17.0,0 days 00:01:40.363000,0 days 00:00:26.281000,0 days 00:00:30.849000,0 days 00:00:43.233000,HARD,17.0,1.0,,,12,16.0,False,2026,China,R,100.363,26.281,30.849,43.233,100.792,0.42900000000000205,107.23,-6.867000000000004,-0.42900000000000205,101.383,107.29,-5.907000000000011,56.0,0.30357142857142855,30.0,0.5666666666666667,289.0,289.0,1,0,0,1,0,0,1,0.0,0.0,17.0,26
ALO,Aston Martin,18.0,0 days 00:01:41.241000,0 days 00:00:27.183000,0 days 00:00:30.854000,0 days 00:00:43.204000,HARD,18.0,1.0,,,21,17.0,False,2026,China,R,101.241,27.183,30.854,43.204,100.792,0.44899999999999807,107.23,-5.989000000000004,0.44899999999999807,102.321,107.29,-4.969000000000008,56.0,0.32142857142857145,30.0,0.6,324.0,324.0,1,0,0,1,0,0,1,0.0,0.0,18.0,26
ALO,Aston Martin,19.0,0 days 00:01:40.356000,0 days 00:00:26.150000,0 days 00:00:30.915000,0 days 00:00:43.291000,HARD,19.0,1.0,,,1,17.0,False,2026,China,R,100.356,26.15,30.915,43.291,100.792,0.43600000000000705,107.23,-6.874000000000009,-0.43600000000000705,101.496,107.29,-5.794000000000011,56.0,0.3392857142857143,30.0,0.6333333333333333,361.0,361.0,1,0,0,0,0,0,1,0.0,0.0,19.0,26
ALO,Aston Martin,20.0,0 days 00:01:40.254000,0 days 00:00:26.250000,0 days 00:00:30.766000,0 days 00:00:43.238000,HARD,20.0,1.0,,,1,17.0,False,2026,China,R,100.254,26.25,30.766,43.238,100.792,0.5379999999999967,107.23,-6.975999999999999,-0.5379999999999967,101.45400000000001,107.29,-5.8359999999999985,56.0,0.35714285714285715,30.0,0.6666666666666666,400.0,400.0,1,0,0,0,0,0,1,0.0,0.0,20.0,26
ALO,Aston Martin,21.0,0 days 00:01:39.812000,0 days 00:00:26.203000,0 days 00:00:30.635000,0 days 00:00:42.974000,HARD,21.0,1.0,,,1,17.0,False,2026,China,R,99.812,26.203,30.635,42.974,100.792,0.980000000000004,107.23,-7.418000000000006,-0.980000000000004,101.072,107.29,-6.2180000000000035,56.0,0.375,30.0,0.7,441.0,441.0,1,0,0,0,0,0,1,0.0,0.0,21.0,26
ALO,Aston Martin,22.0,0 days 00:01:39.938000,0 days 00:00:26.218000,0 days 00:00:30.615000,0 days 00:00:43.105000,HARD,22.0,1.0,,,1,17.0,False,2026,China,R,99.938,26.218,30.615,43.105,100.792,0.8539999999999992,107.23,-7.292000000000002,-0.8539999999999992,101.258,107.29,-6.032000000000011,56.0,0.39285714285714285,30.0,0.7333333333333333,484.0,484.0,1,0,0,0,0,0,1,0.0,0.0,22.0,26
ALO,Aston Martin,23.0,0 days 00:01:39.801000,0 days 00:00:26.192000,0 days 00:00:30.561000,0 days 00:00:43.048000,HARD,23.0,1.0,,,1,17.0,False,2026,China,R,99.801,26.192,30.561,43.048,100.792,0.9909999999999997,107.23,-7.429000000000002,-0.9909999999999997,101.181,107.29,-6.109000000000009,56.0,0.4107142857142857,30.0,0.7666666666666667,529.0,529.0,1,0,0,0,0,0,1,0.0,0.0,23.0,26
ALO,Aston Martin,24.0,0 days 00:01:39.767000,0 days 00:00:26.222000,0 days 00:00:30.534000,0 days 00:00:43.011000,HARD,24.0,1.0,,,1,17.0,False,2026,China,R,99.767,26.222,30.534,43.011,100.792,1.0250000000000057,107.23,-7.463000000000008,-1.0250000000000057,101.207,107.29,-6.083000000000013,56.0,0.42857142857142855,30.0,0.8,576.0,576.0,1,0,0,0,0,0,1,0.0,0.0,24.0,26
ALO,Aston Martin,25.0,0 days 00:01:39.721000,0 days 00:00:26.187000,0 days 00:00:30.538000,0 days 00:00:42.996000,HARD,25.0,1.0,,,1,17.0,False,2026,China,R,99.721,26.187,30.538,42.996,100.792,1.070999999999998,107.23,-7.509,-1.070999999999998,101.221,107.29,-6.069000000000003,56.0,0.44642857142857145,30.0,0.8333333333333334,625.0,625.0,1,0,0,0,0,0,1,0.0,0.0,25.0,26
ALO,Aston Martin,26.0,0 days 00:01:39.755000,0 days 00:00:26.207000,0 days 00:00:30.556000,0 days 00:00:42.992000,HARD,26.0,1.0,,,1,17.0,False,2026,China,R,99.755,26.207,30.556,42.992,100.792,1.0370000000000061,107.23,-7.4750000000000085,-1.0370000000000061,101.315,107.29,-5.9750000000000085,56.0,0.4642857142857143,30.0,0.8666666666666667,676.0,676.0,1,0,0,0,0,0,1,0.0,0.0,26.0,26
ALO,Aston Martin,27.0,0 days 00:01:40.242000,0 days 00:00:26.259000,0 days 00:00:30.598000,0 days 00:00:43.385000,HARD,27.0,1.0,,,12,17.0,False,2026,China,R,100.242,26.259,30.598,43.385,100.792,0.5499999999999972,107.23,-6.9879999999999995,-0.5499999999999972,101.86200000000001,107.29,-5.427999999999997,56.0,0.48214285714285715,30.0,0.9,729.0,729.0,1,0,0,0,0,0,1,0.0,0.0,27.0,26
ALO,Aston Martin,28.0,0 days 00:01:39.745000,0 days 00:00:26.146000,0 days 00:00:30.566000,0 days 00:00:43.033000,HARD,28.0,1.0,,,1,17.0,False,2026,China,R,99.745,26.146,30.566,43.033,100.792,1.046999999999997,107.23,-7.484999999999999,-1.046999999999997,101.42500000000001,107.29,-5.864999999999995,56.0,0.5,30.0,0.9333333333333333,784.0,784.0,1,0,0,0,0,0,1,0.0,0.0,28.0,26
ALO,Aston Martin,29.0,0 days 00:01:39.945000,0 days 00:00:26.276000,0 days 00:00:30.659000,0 days 00:00:43.010000,HARD,29.0,1.0,,,1,17.0,False,2026,China,R,99.945,26.276,30.659,43.01,100.792,0.8470000000000084,107.23,-7.285000000000011,-0.8470000000000084,101.68499999999999,107.29,-5.605000000000018,56.0,0.5178571428571429,30.0,0.9666666666666667,841.0,841.0,1,0,0,0,0,0,1,0.0,0.0,29.0,26
