Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:27.458000,,0 days 00:00:18.462000,0 days 00:00:35.518000,MEDIUM,1.0,1.0,,,1,1.0,False,2024,Australia,R,87.458,,18.462,35.518
VER,Red Bull Racing,2.0,0 days 00:01:24.099000,0 days 00:00:29.623000,0 days 00:00:18.375000,0 days 00:00:36.101000,MEDIUM,2.0,1.0,,,1,2.0,False,2024,Australia,R,84.099,29.623,18.375,36.101
VER,Red Bull Racing,3.0,0 days 00:01:23.115000,0 days 00:00:28.793000,0 days 00:00:18.573000,0 days 00:00:35.749000,MEDIUM,3.0,1.0,,,1,2.0,False,2024,Australia,R,83.115,28.793,18.573,35.749
VER,Red Bull Racing,4.0,,0 days 00:00:28.756000,0 days 00:00:18.353000,,MEDIUM,4.0,1.0,0 days 01:04:24.613000,,1,19.0,False,2024,Australia,R,,28.756,18.353,
GAS,Alpine,1.0,0 days 00:01:37.304000,,0 days 00:00:18.854000,0 days 00:00:38.564000,MEDIUM,1.0,1.0,,,1,17.0,False,2024,Australia,R,97.304,,18.854,38.564
GAS,Alpine,2.0,0 days 00:01:24.649000,0 days 00:00:29.905000,0 days 00:00:18.241000,0 days 00:00:36.503000,MEDIUM,2.0,1.0,,,1,17.0,False,2024,Australia,R,84.649,29.905,18.241,36.503
GAS,Alpine,3.0,0 days 00:01:23.851000,0 days 00:00:29.379000,0 days 00:00:18.148000,0 days 00:00:36.324000,MEDIUM,3.0,1.0,,,1,17.0,False,2024,Australia,R,83.851,29.379,18.148,36.324
GAS,Alpine,4.0,0 days 00:01:23.700000,0 days 00:00:29.050000,0 days 00:00:18.116000,0 days 00:00:36.534000,MEDIUM,4.0,1.0,,,1,16.0,False,2024,Australia,R,83.7,29.05,18.116,36.534
GAS,Alpine,5.0,0 days 00:01:24.526000,0 days 00:00:29.693000,0 days 00:00:17.983000,0 days 00:00:36.850000,MEDIUM,5.0,1.0,,,1,16.0,False,2024,Australia,R,84.526,29.693,17.983,36.85
GAS,Alpine,6.0,0 days 00:01:23.912000,0 days 00:00:29.368000,0 days 00:00:18.107000,0 days 00:00:36.437000,MEDIUM,6.0,1.0,,,1,15.0,False,2024,Australia,R,83.912,29.368,18.107,36.437
GAS,Alpine,7.0,0 days 00:01:23.445000,0 days 00:00:29.068000,0 days 00:00:18.122000,0 days 00:00:36.255000,MEDIUM,7.0,1.0,,,1,13.0,False,2024,Australia,R,83.445,29.068,18.122,36.255
GAS,Alpine,8.0,0 days 00:01:23.879000,0 days 00:00:29.380000,0 days 00:00:18.109000,0 days 00:00:36.390000,MEDIUM,8.0,1.0,,,1,10.0,False,2024,Australia,R,83.879,29.38,18.109,36.39
GAS,Alpine,9.0,0 days 00:01:23.829000,0 days 00:00:29.349000,0 days 00:00:18.235000,0 days 00:00:36.245000,MEDIUM,9.0,1.0,,,1,8.0,False,2024,Australia,R,83.829,29.349,18.235,36.245
GAS,Alpine,10.0,0 days 00:01:23.856000,0 days 00:00:29.318000,0 days 00:00:18.150000,0 days 00:00:36.388000,MEDIUM,10.0,1.0,,,1,6.0,False,2024,Australia,R,83.856,29.318,18.15,36.388
GAS,Alpine,11.0,0 days 00:01:25.397000,0 days 00:00:29.402000,0 days 00:00:18.252000,0 days 00:00:37.743000,MEDIUM,11.0,1.0,,,1,8.0,False,2024,Australia,R,85.397,29.402,18.252,37.743
GAS,Alpine,12.0,0 days 00:01:24.625000,0 days 00:00:29.816000,0 days 00:00:18.154000,0 days 00:00:36.655000,MEDIUM,12.0,1.0,,,1,8.0,False,2024,Australia,R,84.625,29.816,18.154,36.655
GAS,Alpine,13.0,0 days 00:01:24.049000,0 days 00:00:29.379000,0 days 00:00:18.093000,0 days 00:00:36.577000,MEDIUM,13.0,1.0,,,1,8.0,False,2024,Australia,R,84.049,29.379,18.093,36.577
GAS,Alpine,14.0,0 days 00:01:24.104000,0 days 00:00:29.430000,0 days 00:00:18.090000,0 days 00:00:36.584000,MEDIUM,14.0,1.0,,,1,8.0,False,2024,Australia,R,84.104,29.43,18.09,36.584
GAS,Alpine,15.0,0 days 00:01:24.100000,0 days 00:00:29.378000,0 days 00:00:18.207000,0 days 00:00:36.515000,MEDIUM,15.0,1.0,,,1,7.0,False,2024,Australia,R,84.1,29.378,18.207,36.515
GAS,Alpine,16.0,0 days 00:01:25.367000,0 days 00:00:29.942000,0 days 00:00:18.256000,0 days 00:00:37.169000,MEDIUM,16.0,1.0,,,1,8.0,False,2024,Australia,R,85.367,29.942,18.256,37.169
GAS,Alpine,17.0,0 days 00:01:57.788000,0 days 00:00:30.269000,0 days 00:00:25.888000,0 days 00:01:01.631000,MEDIUM,17.0,1.0,0 days 01:22:49.794000,,1267,14.0,False,2024,Australia,R,117.788,30.269,25.888,61.631
GAS,Alpine,18.0,0 days 00:01:29.888000,0 days 00:00:35.202000,0 days 00:00:18.398000,0 days 00:00:36.288000,HARD,1.0,2.0,,0 days 01:23:10.039000,1,15.0,False,2024,Australia,R,89.888,35.202,18.398,36.288
GAS,Alpine,19.0,0 days 00:01:23.922000,0 days 00:00:29.141000,0 days 00:00:18.401000,0 days 00:00:36.380000,HARD,2.0,2.0,,,1,15.0,False,2024,Australia,R,83.922,29.141,18.401,36.38
GAS,Alpine,20.0,0 days 00:01:23.662000,0 days 00:00:29.060000,0 days 00:00:18.369000,0 days 00:00:36.233000,HARD,3.0,2.0,,,1,15.0,False,2024,Australia,R,83.662,29.06,18.369,36.233
GAS,Alpine,21.0,0 days 00:01:23.241000,0 days 00:00:28.904000,0 days 00:00:18.274000,0 days 00:00:36.063000,HARD,4.0,2.0,,,1,15.0,False,2024,Australia,R,83.241,28.904,18.274,36.063
GAS,Alpine,22.0,0 days 00:01:23.045000,0 days 00:00:28.793000,0 days 00:00:18.236000,0 days 00:00:36.016000,HARD,5.0,2.0,,,1,15.0,False,2024,Australia,R,83.045,28.793,18.236,36.016
GAS,Alpine,23.0,0 days 00:01:22.929000,0 days 00:00:28.898000,0 days 00:00:18.198000,0 days 00:00:35.833000,HARD,6.0,2.0,,,1,15.0,False,2024,Australia,R,82.929,28.898,18.198,35.833
GAS,Alpine,24.0,0 days 00:01:23.001000,0 days 00:00:28.729000,0 days 00:00:18.222000,0 days 00:00:36.050000,HARD,7.0,2.0,,,1,15.0,False,2024,Australia,R,83.001,28.729,18.222,36.05
GAS,Alpine,25.0,0 days 00:01:22.933000,0 days 00:00:28.803000,0 days 00:00:18.241000,0 days 00:00:35.889000,HARD,8.0,2.0,,,1,15.0,False,2024,Australia,R,82.933,28.803,18.241,35.889
GAS,Alpine,26.0,0 days 00:01:23.015000,0 days 00:00:28.851000,0 days 00:00:18.346000,0 days 00:00:35.818000,HARD,9.0,2.0,,,1,15.0,False,2024,Australia,R,83.015,28.851,18.346,35.818
GAS,Alpine,27.0,0 days 00:01:22.904000,0 days 00:00:28.749000,0 days 00:00:18.186000,0 days 00:00:35.969000,HARD,10.0,2.0,,,1,14.0,False,2024,Australia,R,82.904,28.749,18.186,35.969
GAS,Alpine,28.0,0 days 00:01:22.674000,0 days 00:00:28.974000,0 days 00:00:17.953000,0 days 00:00:35.747000,HARD,11.0,2.0,,,1,14.0,False,2024,Australia,R,82.674,28.974,17.953,35.747
GAS,Alpine,29.0,0 days 00:01:22.708000,0 days 00:00:28.988000,0 days 00:00:17.968000,0 days 00:00:35.752000,HARD,12.0,2.0,,,1,13.0,False,2024,Australia,R,82.708,28.988,17.968,35.752
GAS,Alpine,30.0,0 days 00:01:22.990000,0 days 00:00:28.857000,0 days 00:00:17.993000,0 days 00:00:36.140000,HARD,13.0,2.0,,,1,13.0,False,2024,Australia,R,82.99,28.857,17.993,36.14
GAS,Alpine,31.0,0 days 00:01:22.727000,0 days 00:00:28.855000,0 days 00:00:17.990000,0 days 00:00:35.882000,HARD,14.0,2.0,,,1,13.0,False,2024,Australia,R,82.727,28.855,17.99,35.882
GAS,Alpine,32.0,0 days 00:01:23.245000,0 days 00:00:28.996000,0 days 00:00:18.019000,0 days 00:00:36.230000,HARD,15.0,2.0,,,1,13.0,False,2024,Australia,R,83.245,28.996,18.019,36.23
GAS,Alpine,33.0,0 days 00:01:23.215000,0 days 00:00:28.788000,0 days 00:00:17.980000,0 days 00:00:36.447000,HARD,16.0,2.0,,,1,12.0,False,2024,Australia,R,83.215,28.788,17.98,36.447
GAS,Alpine,34.0,0 days 00:01:23.036000,0 days 00:00:28.986000,0 days 00:00:18.083000,0 days 00:00:35.967000,HARD,17.0,2.0,,,1,12.0,False,2024,Australia,R,83.036,28.986,18.083,35.967
GAS,Alpine,35.0,0 days 00:01:23.225000,0 days 00:00:28.898000,0 days 00:00:17.957000,0 days 00:00:36.370000,HARD,18.0,2.0,,,1,10.0,False,2024,Australia,R,83.225,28.898,17.957,36.37
GAS,Alpine,36.0,0 days 00:01:22.840000,0 days 00:00:28.631000,0 days 00:00:18.346000,0 days 00:00:35.863000,HARD,19.0,2.0,,,1,10.0,False,2024,Australia,R,82.84,28.631,18.346,35.863
GAS,Alpine,37.0,0 days 00:01:23.326000,0 days 00:00:28.965000,0 days 00:00:18.388000,0 days 00:00:35.973000,HARD,20.0,2.0,,,1,9.0,False,2024,Australia,R,83.326,28.965,18.388,35.973
GAS,Alpine,38.0,0 days 00:01:25.109000,0 days 00:00:30.199000,0 days 00:00:18.344000,0 days 00:00:36.566000,HARD,21.0,2.0,,,1,9.0,False,2024,Australia,R,85.109,30.199,18.344,36.566
GAS,Alpine,39.0,0 days 00:01:23.016000,0 days 00:00:28.723000,0 days 00:00:18.282000,0 days 00:00:36.011000,HARD,22.0,2.0,,,1,9.0,False,2024,Australia,R,83.016,28.723,18.282,36.011
GAS,Alpine,40.0,0 days 00:01:25.020000,0 days 00:00:28.917000,0 days 00:00:18.214000,0 days 00:00:37.889000,HARD,23.0,2.0,,,1,10.0,False,2024,Australia,R,85.02,28.917,18.214,37.889
GAS,Alpine,41.0,0 days 00:01:44.594000,0 days 00:00:31.987000,0 days 00:00:20.379000,0 days 00:00:52.228000,HARD,24.0,2.0,0 days 01:56:38.616000,,1,15.0,False,2024,Australia,R,104.594,31.987,20.379,52.228
GAS,Alpine,42.0,0 days 00:01:28.171000,0 days 00:00:34.671000,0 days 00:00:18.274000,0 days 00:00:35.226000,HARD,1.0,3.0,,0 days 01:56:56.191000,1,14.0,False,2024,Australia,R,88.171,34.671,18.274,35.226
GAS,Alpine,43.0,0 days 00:01:24.419000,0 days 00:00:28.467000,0 days 00:00:19.217000,0 days 00:00:36.735000,HARD,2.0,3.0,,,1,14.0,False,2024,Australia,R,84.419,28.467,19.217,36.735
GAS,Alpine,44.0,0 days 00:01:21.447000,0 days 00:00:28.348000,0 days 00:00:18.045000,0 days 00:00:35.054000,HARD,3.0,3.0,,,1,14.0,False,2024,Australia,R,81.447,28.348,18.045,35.054
GAS,Alpine,45.0,0 days 00:01:22.079000,0 days 00:00:29.395000,0 days 00:00:17.816000,0 days 00:00:34.868000,HARD,4.0,3.0,,,1,14.0,False,2024,Australia,R,82.079,29.395,17.816,34.868
GAS,Alpine,46.0,0 days 00:01:21.220000,0 days 00:00:28.209000,0 days 00:00:18.001000,0 days 00:00:35.010000,HARD,5.0,3.0,,,1,14.0,False,2024,Australia,R,81.22,28.209,18.001,35.01
GAS,Alpine,47.0,0 days 00:01:21.275000,0 days 00:00:28.128000,0 days 00:00:17.982000,0 days 00:00:35.165000,HARD,6.0,3.0,,,1,14.0,False,2024,Australia,R,81.275,28.128,17.982,35.165
GAS,Alpine,48.0,0 days 00:01:21.211000,0 days 00:00:28.320000,0 days 00:00:17.977000,0 days 00:00:34.914000,HARD,7.0,3.0,,,1,14.0,False,2024,Australia,R,81.211,28.32,17.977,34.914
GAS,Alpine,49.0,0 days 00:01:21.340000,0 days 00:00:28.468000,0 days 00:00:17.975000,0 days 00:00:34.897000,HARD,8.0,3.0,,,1,14.0,False,2024,Australia,R,81.34,28.468,17.975,34.897
GAS,Alpine,50.0,0 days 00:01:21.222000,0 days 00:00:28.249000,0 days 00:00:18.088000,0 days 00:00:34.885000,HARD,9.0,3.0,,,1,14.0,False,2024,Australia,R,81.222,28.249,18.088,34.885
GAS,Alpine,51.0,0 days 00:01:21.090000,0 days 00:00:28.224000,0 days 00:00:18.052000,0 days 00:00:34.814000,HARD,10.0,3.0,,,1,14.0,False,2024,Australia,R,81.09,28.224,18.052,34.814
GAS,Alpine,52.0,0 days 00:01:21.161000,0 days 00:00:28.228000,0 days 00:00:18.036000,0 days 00:00:34.897000,HARD,11.0,3.0,,,1,14.0,False,2024,Australia,R,81.161,28.228,18.036,34.897
GAS,Alpine,53.0,0 days 00:01:21.324000,0 days 00:00:28.293000,0 days 00:00:18.046000,0 days 00:00:34.985000,HARD,12.0,3.0,,,1,14.0,False,2024,Australia,R,81.324,28.293,18.046,34.985
GAS,Alpine,54.0,0 days 00:01:23.034000,0 days 00:00:29.613000,0 days 00:00:18.361000,0 days 00:00:35.060000,HARD,13.0,3.0,,,1,14.0,False,2024,Australia,R,83.034,29.613,18.361,35.06
GAS,Alpine,55.0,0 days 00:01:21.427000,0 days 00:00:28.115000,0 days 00:00:18.119000,0 days 00:00:35.193000,HARD,14.0,3.0,,,1,14.0,False,2024,Australia,R,81.427,28.115,18.119,35.193
GAS,Alpine,56.0,0 days 00:01:26.911000,0 days 00:00:28.394000,0 days 00:00:18.123000,0 days 00:00:40.394000,HARD,15.0,3.0,,,126,14.0,False,2024,Australia,R,86.911,28.394,18.123,40.394
GAS,Alpine,57.0,0 days 00:02:00.819000,0 days 00:00:48.810000,0 days 00:00:34.206000,0 days 00:00:37.803000,HARD,16.0,3.0,,,6,13.0,False,2024,Australia,R,120.819,48.81,34.206,37.803
PER,Red Bull Racing,1.0,0 days 00:01:32.428000,,0 days 00:00:18.273000,0 days 00:00:37.250000,MEDIUM,1.0,1.0,,,1,7.0,False,2024,Australia,R,92.428,,18.273,37.25
PER,Red Bull Racing,2.0,0 days 00:01:23.381000,0 days 00:00:29.370000,0 days 00:00:17.903000,0 days 00:00:36.108000,MEDIUM,2.0,1.0,,,1,7.0,False,2024,Australia,R,83.381,29.37,17.903,36.108
PER,Red Bull Racing,3.0,0 days 00:01:23.165000,0 days 00:00:29.005000,0 days 00:00:17.939000,0 days 00:00:36.221000,MEDIUM,3.0,1.0,,,1,7.0,False,2024,Australia,R,83.165,29.005,17.939,36.221
