Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:22.881000,,0 days 00:00:27.949000,0 days 00:00:27,MEDIUM,1.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,82.881,,27.949,27.0
VER,Red Bull Racing,2.0,0 days 00:01:20.596000,0 days 00:00:25.604000,0 days 00:00:27.925000,0 days 00:00:27.067000,MEDIUM,2.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.596,25.604,27.925,27.067
VER,Red Bull Racing,3.0,0 days 00:01:20.872000,0 days 00:00:25.743000,0 days 00:00:28.104000,0 days 00:00:27.025000,MEDIUM,3.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.872,25.743,28.104,27.025
VER,Red Bull Racing,4.0,0 days 00:01:20.671000,0 days 00:00:25.651000,0 days 00:00:27.991000,0 days 00:00:27.029000,MEDIUM,4.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.671,25.651,27.991,27.029
VER,Red Bull Racing,5.0,0 days 00:01:20.734000,0 days 00:00:25.602000,0 days 00:00:28.041000,0 days 00:00:27.091000,MEDIUM,5.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.734,25.602,28.041,27.091
VER,Red Bull Racing,6.0,0 days 00:01:20.868000,0 days 00:00:25.697000,0 days 00:00:28.085000,0 days 00:00:27.086000,MEDIUM,6.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.868,25.697,28.085,27.086
VER,Red Bull Racing,7.0,0 days 00:01:20.868000,0 days 00:00:25.734000,0 days 00:00:28.186000,0 days 00:00:26.948000,MEDIUM,7.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.868,25.734,28.186,26.948
VER,Red Bull Racing,8.0,0 days 00:01:20.762000,0 days 00:00:25.710000,0 days 00:00:28.135000,0 days 00:00:26.917000,MEDIUM,8.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.762,25.71,28.135,26.917
VER,Red Bull Racing,9.0,0 days 00:01:20.543000,0 days 00:00:25.629000,0 days 00:00:27.978000,0 days 00:00:26.936000,MEDIUM,9.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,80.543,25.629,27.978,26.936
VER,Red Bull Racing,10.0,0 days 00:01:21.093000,0 days 00:00:25.633000,0 days 00:00:28.203000,0 days 00:00:27.257000,MEDIUM,10.0,1.0,,,1,1.0,False,2024,Emilia Romagna,R,81.093,25.633,28.203,27.257
