Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:34.338000,,0 days 00:00:34.990000,0 days 00:00:26.211000,MEDIUM,1.0,1.0,,,1,1.0,False,2024,Miami,R,94.338,,34.99,26.211
VER,Red Bull Racing,2.0,0 days 00:01:33.093000,0 days 00:00:31.455000,0 days 00:00:35.489000,0 days 00:00:26.149000,MEDIUM,2.0,1.0,,,1,1.0,False,2024,Miami,R,93.093,31.455,35.489,26.149
VER,Red Bull Racing,3.0,0 days 00:01:33.137000,0 days 00:00:31.551000,0 days 00:00:35.472000,0 days 00:00:26.114000,MEDIUM,3.0,1.0,,,1,1.0,False,2024,Miami,R,93.137,31.551,35.472,26.114
VER,Red Bull Racing,4.0,0 days 00:01:33.504000,0 days 00:00:31.508000,0 days 00:00:35.686000,0 days 00:00:26.310000,MEDIUM,4.0,1.0,,,1,1.0,False,2024,Miami,R,93.504,31.508,35.686,26.31
VER,Red Bull Racing,5.0,0 days 00:01:32.834000,0 days 00:00:31.318000,0 days 00:00:35.410000,0 days 00:00:26.106000,MEDIUM,5.0,1.0,,,1,1.0,False,2024,Miami,R,92.834,31.318,35.41,26.106
VER,Red Bull Racing,6.0,0 days 00:01:32.939000,0 days 00:00:31.528000,0 days 00:00:35.395000,0 days 00:00:26.016000,MEDIUM,6.0,1.0,,,1,1.0,False,2024,Miami,R,92.939,31.528,35.395,26.016
VER,Red Bull Racing,7.0,0 days 00:01:32.895000,0 days 00:00:31.547000,0 days 00:00:35.239000,0 days 00:00:26.109000,MEDIUM,7.0,1.0,,,1,1.0,False,2024,Miami,R,92.895,31.547,35.239,26.109
VER,Red Bull Racing,8.0,0 days 00:01:32.838000,0 days 00:00:31.563000,0 days 00:00:35.266000,0 days 00:00:26.009000,MEDIUM,8.0,1.0,,,1,1.0,False,2024,Miami,R,92.838,31.563,35.266,26.009
VER,Red Bull Racing,9.0,0 days 00:01:33.289000,0 days 00:00:31.903000,0 days 00:00:35.254000,0 days 00:00:26.132000,MEDIUM,9.0,1.0,,,1,1.0,False,2024,Miami,R,93.289,31.903,35.254,26.132
VER,Red Bull Racing,10.0,0 days 00:01:33.267000,0 days 00:00:31.730000,0 days 00:00:35.448000,0 days 00:00:26.089000,MEDIUM,10.0,1.0,,,1,1.0,False,2024,Miami,R,93.267,31.73,35.448,26.089
VER,Red Bull Racing,11.0,0 days 00:01:33.501000,0 days 00:00:31.720000,0 days 00:00:35.573000,0 days 00:00:26.208000,MEDIUM,11.0,1.0,,,1,1.0,False,2024,Miami,R,93.501,31.72,35.573,26.208
VER,Red Bull Racing,12.0,0 days 00:01:33.097000,0 days 00:00:31.605000,0 days 00:00:35.354000,0 days 00:00:26.138000,MEDIUM,12.0,1.0,,,1,1.0,False,2024,Miami,R,93.097,31.605,35.354,26.138
VER,Red Bull Racing,13.0,0 days 00:01:33.129000,0 days 00:00:31.578000,0 days 00:00:35.441000,0 days 00:00:26.110000,MEDIUM,13.0,1.0,,,1,1.0,False,2024,Miami,R,93.129,31.578,35.441,26.11
VER,Red Bull Racing,14.0,0 days 00:01:32.918000,0 days 00:00:31.442000,0 days 00:00:35.397000,0 days 00:00:26.079000,MEDIUM,14.0,1.0,,,1,1.0,False,2024,Miami,R,92.918,31.442,35.397,26.079
