Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
LEC,Ferrari,1.0,0 days 00:40:56.330000,,0 days 00:00:46.389000,,MEDIUM,1.0,1.0,0 days 00:56:45.433000,,1254,1.0,False,2024,Monaco,R,2456.33,,46.389,
LEC,Ferrari,2.0,,0 days 00:00:26.854000,0 days 00:00:41.743000,,HARD,1.0,2.0,,0 days 01:36:03.182000,14,1.0,False,2024,Monaco,R,,26.854,41.743,
LEC,Ferrari,3.0,0 days 00:01:24.624000,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000,HARD,2.0,2.0,,,1,1.0,False,2024,Monaco,R,84.624,24.007,38.235,22.382
LEC,Ferrari,4.0,0 days 00:01:22.625000,0 days 00:00:21.892000,0 days 00:00:38.779000,0 days 00:00:21.954000,HARD,3.0,2.0,,,1,1.0,False,2024,Monaco,R,82.625,21.892,38.779,21.954
LEC,Ferrari,5.0,0 days 00:01:21.795000,0 days 00:00:21.314000,0 days 00:00:38.513000,0 days 00:00:21.968000,HARD,4.0,2.0,,,1,1.0,False,2024,Monaco,R,81.795,21.314,38.513,21.968
LEC,Ferrari,6.0,0 days 00:01:21.145000,0 days 00:00:21.568000,0 days 00:00:38.168000,0 days 00:00:21.409000,HARD,5.0,2.0,,,1,1.0,False,2024,Monaco,R,81.145,21.568,38.168,21.409
LEC,Ferrari,7.0,0 days 00:01:20.980000,0 days 00:00:21.370000,0 days 00:00:38.056000,0 days 00:00:21.554000,HARD,6.0,2.0,,,1,1.0,False,2024,Monaco,R,80.98,21.37,38.056,21.554
LEC,Ferrari,8.0,0 days 00:01:21.030000,0 days 00:00:21.250000,0 days 00:00:38.171000,0 days 00:00:21.609000,HARD,7.0,2.0,,,1,1.0,False,2024,Monaco,R,81.03,21.25,38.171,21.609
LEC,Ferrari,9.0,0 days 00:01:20.114000,0 days 00:00:21.092000,0 days 00:00:37.612000,0 days 00:00:21.410000,HARD,8.0,2.0,,,1,1.0,False,2024,Monaco,R,80.114,21.092,37.612,21.41
LEC,Ferrari,10.0,0 days 00:01:20.775000,0 days 00:00:21.036000,0 days 00:00:37.886000,0 days 00:00:21.853000,HARD,9.0,2.0,,,1,1.0,False,2024,Monaco,R,80.775,21.036,37.886,21.853
LEC,Ferrari,11.0,0 days 00:01:21.046000,0 days 00:00:21.279000,0 days 00:00:38.236000,0 days 00:00:21.531000,HARD,10.0,2.0,,,1,1.0,False,2024,Monaco,R,81.046,21.279,38.236,21.531
LEC,Ferrari,12.0,0 days 00:01:20.252000,0 days 00:00:20.949000,0 days 00:00:37.730000,0 days 00:00:21.573000,HARD,11.0,2.0,,,1,1.0,False,2024,Monaco,R,80.252,20.949,37.73,21.573
LEC,Ferrari,13.0,0 days 00:01:19.017000,0 days 00:00:20.818000,0 days 00:00:36.898000,0 days 00:00:21.301000,HARD,12.0,2.0,,,1,1.0,False,2024,Monaco,R,79.017,20.818,36.898,21.301
LEC,Ferrari,14.0,0 days 00:01:19.913000,0 days 00:00:20.847000,0 days 00:00:38.003000,0 days 00:00:21.063000,HARD,13.0,2.0,,,1,1.0,False,2024,Monaco,R,79.913,20.847,38.003,21.063
LEC,Ferrari,15.0,0 days 00:01:19.838000,0 days 00:00:20.763000,0 days 00:00:37.770000,0 days 00:00:21.305000,HARD,14.0,2.0,,,1,1.0,False,2024,Monaco,R,79.838,20.763,37.77,21.305
LEC,Ferrari,16.0,0 days 00:01:20.156000,0 days 00:00:21.139000,0 days 00:00:37.516000,0 days 00:00:21.501000,HARD,15.0,2.0,,,1,1.0,False,2024,Monaco,R,80.156,21.139,37.516,21.501
LEC,Ferrari,17.0,0 days 00:01:20.279000,0 days 00:00:20.925000,0 days 00:00:37.498000,0 days 00:00:21.856000,HARD,16.0,2.0,,,1,1.0,False,2024,Monaco,R,80.279,20.925,37.498,21.856
LEC,Ferrari,18.0,0 days 00:01:19.580000,0 days 00:00:20.612000,0 days 00:00:37.578000,0 days 00:00:21.390000,HARD,17.0,2.0,,,1,1.0,False,2024,Monaco,R,79.58,20.612,37.578,21.39
LEC,Ferrari,19.0,0 days 00:01:18.842000,0 days 00:00:20.806000,0 days 00:00:36.890000,0 days 00:00:21.146000,HARD,18.0,2.0,,,1,1.0,False,2024,Monaco,R,78.842,20.806,36.89,21.146
LEC,Ferrari,20.0,0 days 00:01:18.724000,0 days 00:00:20.573000,0 days 00:00:37.018000,0 days 00:00:21.133000,HARD,19.0,2.0,,,1,1.0,False,2024,Monaco,R,78.724,20.573,37.018,21.133
LEC,Ferrari,21.0,0 days 00:01:18.472000,0 days 00:00:20.609000,0 days 00:00:36.874000,0 days 00:00:20.989000,HARD,20.0,2.0,,,1,1.0,False,2024,Monaco,R,78.472,20.609,36.874,20.989
LEC,Ferrari,22.0,0 days 00:01:18.620000,0 days 00:00:20.591000,0 days 00:00:37.004000,0 days 00:00:21.025000,HARD,21.0,2.0,,,1,1.0,False,2024,Monaco,R,78.62,20.591,37.004,21.025
LEC,Ferrari,23.0,0 days 00:01:18.458000,0 days 00:00:20.638000,0 days 00:00:36.755000,0 days 00:00:21.065000,HARD,22.0,2.0,,,1,1.0,False,2024,Monaco,R,78.458,20.638,36.755,21.065
LEC,Ferrari,24.0,0 days 00:01:18.725000,0 days 00:00:20.436000,0 days 00:00:37.261000,0 days 00:00:21.028000,HARD,23.0,2.0,,,1,1.0,False,2024,Monaco,R,78.725,20.436,37.261,21.028
LEC,Ferrari,25.0,0 days 00:01:18.973000,0 days 00:00:20.408000,0 days 00:00:37.435000,0 days 00:00:21.130000,HARD,24.0,2.0,,,1,1.0,False,2024,Monaco,R,78.973,20.408,37.435,21.13
