Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
NOR,McLaren,1.0,0 days 00:01:28.861000,,0 days 00:00:31.326000,0 days 00:00:36.909000,MEDIUM,1.0,1.0,,,124,1.0,False,2025,Austria,R,88.861,,31.326,36.909
NOR,McLaren,2.0,0 days 00:01:54.426000,0 days 00:00:26.438000,0 days 00:00:53.661000,0 days 00:00:34.327000,MEDIUM,2.0,1.0,,,4,1.0,False,2025,Austria,R,114.426,26.438,53.661,34.327
NOR,McLaren,3.0,0 days 00:01:53.022000,0 days 00:00:26.434000,0 days 00:00:50.148000,0 days 00:00:36.440000,MEDIUM,3.0,1.0,,,41,1.0,False,2025,Austria,R,113.022,26.434,50.148,36.44
NOR,McLaren,4.0,0 days 00:01:10.254000,0 days 00:00:17.564000,0 days 00:00:31.393000,0 days 00:00:21.297000,MEDIUM,4.0,1.0,,,1,1.0,False,2025,Austria,R,70.254,17.564,31.393,21.297
NOR,McLaren,5.0,0 days 00:01:09.858000,0 days 00:00:17.488000,0 days 00:00:31.430000,0 days 00:00:20.940000,MEDIUM,5.0,1.0,,,1,1.0,False,2025,Austria,R,69.858,17.488,31.43,20.94
NOR,McLaren,6.0,0 days 00:01:09.460000,0 days 00:00:17.460000,0 days 00:00:31.107000,0 days 00:00:20.893000,MEDIUM,6.0,1.0,,,1,1.0,False,2025,Austria,R,69.46,17.46,31.107,20.893
NOR,McLaren,7.0,0 days 00:01:09.313000,0 days 00:00:17.393000,0 days 00:00:30.992000,0 days 00:00:20.928000,MEDIUM,7.0,1.0,,,1,1.0,False,2025,Austria,R,69.313,17.393,30.992,20.928
NOR,McLaren,8.0,0 days 00:01:09.394000,0 days 00:00:17.407000,0 days 00:00:31.156000,0 days 00:00:20.831000,MEDIUM,8.0,1.0,,,1,1.0,False,2025,Austria,R,69.394,17.407,31.156,20.831
NOR,McLaren,9.0,0 days 00:01:09.488000,0 days 00:00:17.509000,0 days 00:00:31.005000,0 days 00:00:20.974000,MEDIUM,9.0,1.0,,,1,1.0,False,2025,Austria,R,69.488,17.509,31.005,20.974
NOR,McLaren,10.0,0 days 00:01:09.952000,0 days 00:00:17.565000,0 days 00:00:31.344000,0 days 00:00:21.043000,MEDIUM,10.0,1.0,,,1,1.0,False,2025,Austria,R,69.952,17.565,31.344,21.043
NOR,McLaren,11.0,0 days 00:01:10.946000,0 days 00:00:17.955000,0 days 00:00:31.890000,0 days 00:00:21.101000,MEDIUM,11.0,1.0,,,1,1.0,False,2025,Austria,R,70.946,17.955,31.89,21.101
NOR,McLaren,12.0,0 days 00:01:10.184000,0 days 00:00:17.671000,0 days 00:00:31.361000,0 days 00:00:21.152000,MEDIUM,12.0,1.0,,,1,1.0,False,2025,Austria,R,70.184,17.671,31.361,21.152
NOR,McLaren,13.0,0 days 00:01:10.046000,0 days 00:00:17.656000,0 days 00:00:31.335000,0 days 00:00:21.055000,MEDIUM,13.0,1.0,,,1,1.0,False,2025,Austria,R,70.046,17.656,31.335,21.055
