Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
PIA,McLaren,1.0,0 days 00:01:38.693000,,0 days 00:00:42.130000,0 days 00:00:23.956000,SOFT,4.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.693,,42.13,23.956
PIA,McLaren,2.0,0 days 00:01:37.492000,0 days 00:00:31.139000,0 days 00:00:42.343000,0 days 00:00:24.010000,SOFT,5.0,1.0,,,1,1.0,False,2025,Bahrain,R,97.492,31.139,42.343,24.01
PIA,McLaren,3.0,0 days 00:01:38.083000,0 days 00:00:31.306000,0 days 00:00:42.727000,0 days 00:00:24.050000,SOFT,6.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.083,31.306,42.727,24.05
PIA,McLaren,4.0,0 days 00:01:38.133000,0 days 00:00:31.326000,0 days 00:00:42.796000,0 days 00:00:24.011000,SOFT,7.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.133,31.326,42.796,24.011
PIA,McLaren,5.0,0 days 00:01:38.043000,0 days 00:00:31.305000,0 days 00:00:42.690000,0 days 00:00:24.048000,SOFT,8.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.043,31.305,42.69,24.048
PIA,McLaren,6.0,0 days 00:01:38.363000,0 days 00:00:31.336000,0 days 00:00:42.880000,0 days 00:00:24.147000,SOFT,9.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.363,31.336,42.88,24.147
PIA,McLaren,7.0,0 days 00:01:38.498000,0 days 00:00:31.448000,0 days 00:00:42.862000,0 days 00:00:24.188000,SOFT,10.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.498,31.448,42.862,24.188
PIA,McLaren,8.0,0 days 00:01:38.567000,0 days 00:00:31.500000,0 days 00:00:42.865000,0 days 00:00:24.202000,SOFT,11.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.567,31.5,42.865,24.202
PIA,McLaren,9.0,0 days 00:01:38.800000,0 days 00:00:31.521000,0 days 00:00:42.944000,0 days 00:00:24.335000,SOFT,12.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.8,31.521,42.944,24.335
PIA,McLaren,10.0,0 days 00:01:38.549000,0 days 00:00:31.452000,0 days 00:00:42.868000,0 days 00:00:24.229000,SOFT,13.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.549,31.452,42.868,24.229
PIA,McLaren,11.0,0 days 00:01:38.681000,0 days 00:00:31.426000,0 days 00:00:43.024000,0 days 00:00:24.231000,SOFT,14.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.681,31.426,43.024,24.231
PIA,McLaren,12.0,0 days 00:01:39.028000,0 days 00:00:31.526000,0 days 00:00:43.156000,0 days 00:00:24.346000,SOFT,15.0,1.0,,,1,1.0,False,2025,Bahrain,R,99.028,31.526,43.156,24.346
PIA,McLaren,13.0,0 days 00:01:38.763000,0 days 00:00:31.482000,0 days 00:00:43.069000,0 days 00:00:24.212000,SOFT,16.0,1.0,,,1,1.0,False,2025,Bahrain,R,98.763,31.482,43.069,24.212
PIA,McLaren,14.0,0 days 00:01:41.297000,0 days 00:00:31.525000,0 days 00:00:42.952000,0 days 00:00:26.820000,SOFT,17.0,1.0,0 days 01:18:34.427000,,1,1.0,False,2025,Bahrain,R,101.297,31.525,42.952,26.82
PIA,McLaren,15.0,0 days 00:01:58.856000,0 days 00:00:52.025000,0 days 00:00:43.048000,0 days 00:00:23.783000,MEDIUM,1.0,2.0,,0 days 01:18:58.980000,1,3.0,False,2025,Bahrain,R,118.856,52.025,43.048,23.783
PIA,McLaren,16.0,0 days 00:01:38.063000,0 days 00:00:31.078000,0 days 00:00:43.003000,0 days 00:00:23.982000,MEDIUM,2.0,2.0,,,1,3.0,False,2025,Bahrain,R,98.063,31.078,43.003,23.982
PIA,McLaren,17.0,0 days 00:01:37.733000,0 days 00:00:30.997000,0 days 00:00:42.803000,0 days 00:00:23.933000,MEDIUM,3.0,2.0,,,1,3.0,False,2025,Bahrain,R,97.733,30.997,42.803,23.933
PIA,McLaren,18.0,0 days 00:01:37.688000,0 days 00:00:31.042000,0 days 00:00:42.772000,0 days 00:00:23.874000,MEDIUM,4.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.688,31.042,42.772,23.874
PIA,McLaren,19.0,0 days 00:01:37.891000,0 days 00:00:31.134000,0 days 00:00:42.835000,0 days 00:00:23.922000,MEDIUM,5.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.891,31.134,42.835,23.922
PIA,McLaren,20.0,0 days 00:01:37.504000,0 days 00:00:31.126000,0 days 00:00:42.551000,0 days 00:00:23.827000,MEDIUM,6.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.504,31.126,42.551,23.827
PIA,McLaren,21.0,0 days 00:01:37.712000,0 days 00:00:31.053000,0 days 00:00:42.769000,0 days 00:00:23.890000,MEDIUM,7.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.712,31.053,42.769,23.89
PIA,McLaren,22.0,0 days 00:01:37.142000,0 days 00:00:31.072000,0 days 00:00:42.247000,0 days 00:00:23.823000,MEDIUM,8.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.142,31.072,42.247,23.823
PIA,McLaren,23.0,0 days 00:01:37.933000,0 days 00:00:31.207000,0 days 00:00:42.841000,0 days 00:00:23.885000,MEDIUM,9.0,2.0,,,1,1.0,True,2025,Bahrain,R,97.933,31.207,42.841,23.885
PIA,McLaren,24.0,0 days 00:01:37.634000,0 days 00:00:31.153000,0 days 00:00:42.568000,0 days 00:00:23.913000,MEDIUM,10.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.634,31.153,42.568,23.913
PIA,McLaren,25.0,0 days 00:01:37.811000,0 days 00:00:31.347000,0 days 00:00:42.591000,0 days 00:00:23.873000,MEDIUM,11.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.811,31.347,42.591,23.873
PIA,McLaren,26.0,0 days 00:01:37.390000,0 days 00:00:31.095000,0 days 00:00:42.426000,0 days 00:00:23.869000,MEDIUM,12.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.39,31.095,42.426,23.869
PIA,McLaren,27.0,0 days 00:01:37.579000,0 days 00:00:31.064000,0 days 00:00:42.526000,0 days 00:00:23.989000,MEDIUM,13.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.579,31.064,42.526,23.989
PIA,McLaren,28.0,0 days 00:01:37.693000,0 days 00:00:31.228000,0 days 00:00:42.482000,0 days 00:00:23.983000,MEDIUM,14.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.693,31.228,42.482,23.983
PIA,McLaren,29.0,0 days 00:01:37.677000,0 days 00:00:31.178000,0 days 00:00:42.547000,0 days 00:00:23.952000,MEDIUM,15.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.677,31.178,42.547,23.952
PIA,McLaren,30.0,0 days 00:01:37.811000,0 days 00:00:31.408000,0 days 00:00:42.483000,0 days 00:00:23.920000,MEDIUM,16.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.811,31.408,42.483,23.92
PIA,McLaren,31.0,0 days 00:01:37.556000,0 days 00:00:31.137000,0 days 00:00:42.532000,0 days 00:00:23.887000,MEDIUM,17.0,2.0,,,1,1.0,False,2025,Bahrain,R,97.556,31.137,42.532,23.887
PIA,McLaren,32.0,0 days 00:01:48.702000,0 days 00:00:31.309000,0 days 00:00:42.539000,0 days 00:00:34.854000,MEDIUM,18.0,2.0,0 days 01:48:24.783000,,14,1.0,False,2025,Bahrain,R,108.702,31.309,42.539,34.854
PIA,McLaren,33.0,,0 days 00:01:07.443000,0 days 00:01:04.333000,0 days 00:00:34.294000,MEDIUM,1.0,3.0,,0 days 01:48:49.751000,4,1.0,False,2025,Bahrain,R,,67.443,64.333,34.294
PIA,McLaren,34.0,0 days 00:02:20.563000,0 days 00:00:45.070000,0 days 00:01:01.179000,0 days 00:00:34.314000,MEDIUM,2.0,3.0,,,4,1.0,False,2025,Bahrain,R,140.563,45.07,61.179,34.314
PIA,McLaren,35.0,0 days 00:02:26.233000,0 days 00:00:42.791000,0 days 00:01:00.461000,0 days 00:00:42.981000,MEDIUM,3.0,3.0,,,41,1.0,False,2025,Bahrain,R,146.233,42.791,60.461,42.981
PIA,McLaren,36.0,0 days 00:01:35.140000,0 days 00:00:30.548000,0 days 00:00:41.215000,0 days 00:00:23.377000,MEDIUM,4.0,3.0,,,1,1.0,False,2025,Bahrain,R,95.14,30.548,41.215,23.377
PIA,McLaren,37.0,0 days 00:01:35.375000,0 days 00:00:30.644000,0 days 00:00:41.272000,0 days 00:00:23.459000,MEDIUM,5.0,3.0,,,1,1.0,False,2025,Bahrain,R,95.375,30.644,41.272,23.459
PIA,McLaren,38.0,0 days 00:01:35.997000,0 days 00:00:30.732000,0 days 00:00:41.780000,0 days 00:00:23.485000,MEDIUM,6.0,3.0,,,1,1.0,False,2025,Bahrain,R,95.997,30.732,41.78,23.485
PIA,McLaren,39.0,0 days 00:01:36.174000,0 days 00:00:30.738000,0 days 00:00:41.913000,0 days 00:00:23.523000,MEDIUM,7.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.174,30.738,41.913,23.523
PIA,McLaren,40.0,0 days 00:01:36.360000,0 days 00:00:30.889000,0 days 00:00:41.986000,0 days 00:00:23.485000,MEDIUM,8.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.36,30.889,41.986,23.485
PIA,McLaren,41.0,0 days 00:01:36.326000,0 days 00:00:30.912000,0 days 00:00:41.839000,0 days 00:00:23.575000,MEDIUM,9.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.326,30.912,41.839,23.575
PIA,McLaren,42.0,0 days 00:01:36.249000,0 days 00:00:30.950000,0 days 00:00:41.813000,0 days 00:00:23.486000,MEDIUM,10.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.249,30.95,41.813,23.486
PIA,McLaren,43.0,0 days 00:01:36.118000,0 days 00:00:30.841000,0 days 00:00:41.710000,0 days 00:00:23.567000,MEDIUM,11.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.118,30.841,41.71,23.567
PIA,McLaren,44.0,0 days 00:01:36.289000,0 days 00:00:30.843000,0 days 00:00:41.882000,0 days 00:00:23.564000,MEDIUM,12.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.289,30.843,41.882,23.564
PIA,McLaren,45.0,0 days 00:01:36.035000,0 days 00:00:30.853000,0 days 00:00:41.629000,0 days 00:00:23.553000,MEDIUM,13.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.035,30.853,41.629,23.553
PIA,McLaren,46.0,0 days 00:01:35.898000,0 days 00:00:30.839000,0 days 00:00:41.526000,0 days 00:00:23.533000,MEDIUM,14.0,3.0,,,1,1.0,False,2025,Bahrain,R,95.898,30.839,41.526,23.533
PIA,McLaren,47.0,0 days 00:01:36.090000,0 days 00:00:30.847000,0 days 00:00:41.685000,0 days 00:00:23.558000,MEDIUM,15.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.09,30.847,41.685,23.558
PIA,McLaren,48.0,0 days 00:01:36.357000,0 days 00:00:30.826000,0 days 00:00:41.850000,0 days 00:00:23.681000,MEDIUM,16.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.357,30.826,41.85,23.681
PIA,McLaren,49.0,0 days 00:01:36.815000,0 days 00:00:31.036000,0 days 00:00:42.078000,0 days 00:00:23.701000,MEDIUM,17.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.815,31.036,42.078,23.701
PIA,McLaren,50.0,0 days 00:01:36.263000,0 days 00:00:30.885000,0 days 00:00:41.878000,0 days 00:00:23.500000,MEDIUM,18.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.263,30.885,41.878,23.5
PIA,McLaren,51.0,0 days 00:01:36.105000,0 days 00:00:30.851000,0 days 00:00:41.653000,0 days 00:00:23.601000,MEDIUM,19.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.105,30.851,41.653,23.601
PIA,McLaren,52.0,0 days 00:01:35.961000,0 days 00:00:30.858000,0 days 00:00:41.503000,0 days 00:00:23.600000,MEDIUM,20.0,3.0,,,1,1.0,False,2025,Bahrain,R,95.961,30.858,41.503,23.6
PIA,McLaren,53.0,0 days 00:01:36.333000,0 days 00:00:30.865000,0 days 00:00:41.789000,0 days 00:00:23.679000,MEDIUM,21.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.333,30.865,41.789,23.679
PIA,McLaren,54.0,0 days 00:01:36.229000,0 days 00:00:30.936000,0 days 00:00:41.680000,0 days 00:00:23.613000,MEDIUM,22.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.229,30.936,41.68,23.613
PIA,McLaren,55.0,0 days 00:01:36.259000,0 days 00:00:30.814000,0 days 00:00:41.864000,0 days 00:00:23.581000,MEDIUM,23.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.259,30.814,41.864,23.581
PIA,McLaren,56.0,0 days 00:01:36.243000,0 days 00:00:30.915000,0 days 00:00:41.772000,0 days 00:00:23.556000,MEDIUM,24.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.243,30.915,41.772,23.556
PIA,McLaren,57.0,0 days 00:01:36.588000,0 days 00:00:31.162000,0 days 00:00:41.763000,0 days 00:00:23.663000,MEDIUM,25.0,3.0,,,1,1.0,False,2025,Bahrain,R,96.588,31.162,41.763,23.663
RUS,Mercedes,1.0,0 days 00:01:39.582000,,0 days 00:00:42.305000,0 days 00:00:23.820000,SOFT,4.0,1.0,,,1,2.0,False,2025,Bahrain,R,99.582,,42.305,23.82
RUS,Mercedes,2.0,0 days 00:01:37.817000,0 days 00:00:31.075000,0 days 00:00:42.830000,0 days 00:00:23.912000,SOFT,5.0,1.0,,,1,2.0,False,2025,Bahrain,R,97.817,31.075,42.83,23.912
RUS,Mercedes,3.0,0 days 00:01:38.286000,0 days 00:00:31.490000,0 days 00:00:42.703000,0 days 00:00:24.093000,SOFT,6.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.286,31.49,42.703,24.093
RUS,Mercedes,4.0,0 days 00:01:38.378000,0 days 00:00:31.455000,0 days 00:00:42.808000,0 days 00:00:24.115000,SOFT,7.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.378,31.455,42.808,24.115
RUS,Mercedes,5.0,0 days 00:01:38.604000,0 days 00:00:31.416000,0 days 00:00:43.034000,0 days 00:00:24.154000,SOFT,8.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.604,31.416,43.034,24.154
RUS,Mercedes,6.0,0 days 00:01:38.467000,0 days 00:00:31.427000,0 days 00:00:42.851000,0 days 00:00:24.189000,SOFT,9.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.467,31.427,42.851,24.189
RUS,Mercedes,7.0,0 days 00:01:38.686000,0 days 00:00:31.405000,0 days 00:00:43.002000,0 days 00:00:24.279000,SOFT,10.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.686,31.405,43.002,24.279
RUS,Mercedes,8.0,0 days 00:01:39.007000,0 days 00:00:31.534000,0 days 00:00:43.192000,0 days 00:00:24.281000,SOFT,11.0,1.0,,,1,2.0,False,2025,Bahrain,R,99.007,31.534,43.192,24.281
RUS,Mercedes,9.0,0 days 00:01:38.900000,0 days 00:00:31.550000,0 days 00:00:43.050000,0 days 00:00:24.300000,SOFT,12.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.9,31.55,43.05,24.3
RUS,Mercedes,10.0,0 days 00:01:38.889000,0 days 00:00:31.528000,0 days 00:00:43.040000,0 days 00:00:24.321000,SOFT,13.0,1.0,,,1,2.0,False,2025,Bahrain,R,98.889,31.528,43.04,24.321
RUS,Mercedes,11.0,0 days 00:01:39.152000,0 days 00:00:31.474000,0 days 00:00:43.381000,0 days 00:00:24.297000,SOFT,14.0,1.0,,,1,2.0,False,2025,Bahrain,R,99.152,31.474,43.381,24.297
RUS,Mercedes,12.0,0 days 00:01:39.098000,0 days 00:00:31.556000,0 days 00:00:43.247000,0 days 00:00:24.295000,SOFT,15.0,1.0,,,1,2.0,False,2025,Bahrain,R,99.098,31.556,43.247,24.295
RUS,Mercedes,13.0,0 days 00:01:41.867000,0 days 00:00:31.499000,0 days 00:00:43.339000,0 days 00:00:27.029000,SOFT,16.0,1.0,0 days 01:17:00.288000,,1,3.0,False,2025,Bahrain,R,101.867,31.499,43.339,27.029
RUS,Mercedes,14.0,0 days 00:01:57.315000,0 days 00:00:51.291000,0 days 00:00:41.871000,0 days 00:00:24.153000,MEDIUM,1.0,2.0,,0 days 01:17:24.227000,1,6.0,False,2025,Bahrain,R,117.315,51.291,41.871,24.153
RUS,Mercedes,15.0,0 days 00:01:37.828000,0 days 00:00:30.826000,0 days 00:00:43.037000,0 days 00:00:23.965000,MEDIUM,2.0,2.0,,,1,4.0,False,2025,Bahrain,R,97.828,30.826,43.037,23.965
