Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:22.549000,,0 days 00:00:24.494000,0 days 00:00:30.987000,MEDIUM,4.0,1.0,,,1,2.0,False,2025,Canada,R,82.549,,24.494,30.987
VER,Red Bull Racing,2.0,0 days 00:01:16.418000,0 days 00:00:21.742000,0 days 00:00:24.204000,0 days 00:00:30.472000,MEDIUM,5.0,1.0,,,1,2.0,False,2025,Canada,R,76.418,21.742,24.204,30.472
VER,Red Bull Racing,3.0,0 days 00:01:16.094000,0 days 00:00:21.507000,0 days 00:00:24.075000,0 days 00:00:30.512000,MEDIUM,6.0,1.0,,,1,2.0,False,2025,Canada,R,76.094,21.507,24.075,30.512
VER,Red Bull Racing,4.0,0 days 00:01:15.925000,0 days 00:00:21.552000,0 days 00:00:24.012000,0 days 00:00:30.361000,MEDIUM,7.0,1.0,,,1,2.0,False,2025,Canada,R,75.925,21.552,24.012,30.361
VER,Red Bull Racing,5.0,0 days 00:01:15.901000,0 days 00:00:21.429000,0 days 00:00:24.059000,0 days 00:00:30.413000,MEDIUM,8.0,1.0,,,1,2.0,False,2025,Canada,R,75.901,21.429,24.059,30.413
VER,Red Bull Racing,6.0,0 days 00:01:16.531000,0 days 00:00:21.599000,0 days 00:00:24.128000,0 days 00:00:30.804000,MEDIUM,9.0,1.0,,,1,2.0,False,2025,Canada,R,76.531,21.599,24.128,30.804
VER,Red Bull Racing,7.0,0 days 00:01:16.600000,0 days 00:00:21.560000,0 days 00:00:24.243000,0 days 00:00:30.797000,MEDIUM,10.0,1.0,,,1,2.0,False,2025,Canada,R,76.6,21.56,24.243,30.797
VER,Red Bull Racing,8.0,0 days 00:01:16.640000,0 days 00:00:21.402000,0 days 00:00:24.412000,0 days 00:00:30.826000,MEDIUM,11.0,1.0,,,1,2.0,False,2025,Canada,R,76.64,21.402,24.412,30.826
VER,Red Bull Racing,9.0,0 days 00:01:16.762000,0 days 00:00:21.484000,0 days 00:00:24.360000,0 days 00:00:30.918000,MEDIUM,12.0,1.0,,,1,2.0,False,2025,Canada,R,76.762,21.484,24.36,30.918
VER,Red Bull Racing,10.0,0 days 00:01:16.680000,0 days 00:00:21.536000,0 days 00:00:24.280000,0 days 00:00:30.864000,MEDIUM,13.0,1.0,,,1,2.0,False,2025,Canada,R,76.68,21.536,24.28,30.864
VER,Red Bull Racing,11.0,0 days 00:01:16.991000,0 days 00:00:21.570000,0 days 00:00:24.389000,0 days 00:00:31.032000,MEDIUM,14.0,1.0,,,1,2.0,False,2025,Canada,R,76.991,21.57,24.389,31.032
VER,Red Bull Racing,12.0,0 days 00:01:33.110000,0 days 00:00:21.612000,0 days 00:00:24.387000,0 days 00:00:47.111000,MEDIUM,15.0,1.0,0 days 01:13:18.038000,,1,9.0,False,2025,Canada,R,93.11,21.612,24.387,47.111
