Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
PIA,McLaren,1.0,0 days 00:01:38.344000,,0 days 00:00:28.932000,0 days 00:00:41.859000,MEDIUM,1.0,1.0,,,12,1.0,False,2025,China,R,98.344,,28.932,41.859
PIA,McLaren,2.0,0 days 00:01:37.551000,0 days 00:00:26.193000,0 days 00:00:29.261000,0 days 00:00:42.097000,MEDIUM,2.0,1.0,,,1,1.0,False,2025,China,R,97.551,26.193,29.261,42.097
PIA,McLaren,3.0,0 days 00:01:37.689000,0 days 00:00:26.011000,0 days 00:00:29.486000,0 days 00:00:42.192000,MEDIUM,3.0,1.0,,,12,1.0,False,2025,China,R,97.689,26.011,29.486,42.192
PIA,McLaren,4.0,0 days 00:01:37.804000,0 days 00:00:26.345000,0 days 00:00:29.430000,0 days 00:00:42.029000,MEDIUM,4.0,1.0,,,1,1.0,False,2025,China,R,97.804,26.345,29.43,42.029
PIA,McLaren,5.0,0 days 00:01:38.082000,0 days 00:00:26.312000,0 days 00:00:29.729000,0 days 00:00:42.041000,MEDIUM,5.0,1.0,,,1,1.0,False,2025,China,R,98.082,26.312,29.729,42.041
PIA,McLaren,6.0,0 days 00:01:37.539000,0 days 00:00:26.187000,0 days 00:00:29.451000,0 days 00:00:41.901000,MEDIUM,6.0,1.0,,,12,1.0,False,2025,China,R,97.539,26.187,29.451,41.901
PIA,McLaren,7.0,0 days 00:01:37.898000,0 days 00:00:26.337000,0 days 00:00:29.711000,0 days 00:00:41.850000,MEDIUM,7.0,1.0,,,1,1.0,False,2025,China,R,97.898,26.337,29.711,41.85
PIA,McLaren,8.0,0 days 00:01:38.193000,0 days 00:00:26.341000,0 days 00:00:29.696000,0 days 00:00:42.156000,MEDIUM,8.0,1.0,,,1,1.0,False,2025,China,R,98.193,26.341,29.696,42.156
PIA,McLaren,9.0,0 days 00:01:38.199000,0 days 00:00:26.468000,0 days 00:00:29.696000,0 days 00:00:42.035000,MEDIUM,9.0,1.0,,,1,1.0,False,2025,China,R,98.199,26.468,29.696,42.035
PIA,McLaren,10.0,0 days 00:01:37.994000,0 days 00:00:26.314000,0 days 00:00:29.785000,0 days 00:00:41.895000,MEDIUM,10.0,1.0,,,1,1.0,False,2025,China,R,97.994,26.314,29.785,41.895
PIA,McLaren,11.0,0 days 00:01:38.124000,0 days 00:00:26.314000,0 days 00:00:29.718000,0 days 00:00:42.092000,MEDIUM,11.0,1.0,,,1,1.0,False,2025,China,R,98.124,26.314,29.718,42.092
PIA,McLaren,12.0,0 days 00:01:38.113000,0 days 00:00:26.340000,0 days 00:00:29.782000,0 days 00:00:41.991000,MEDIUM,12.0,1.0,,,1,1.0,False,2025,China,R,98.113,26.34,29.782,41.991
PIA,McLaren,13.0,0 days 00:01:37.955000,0 days 00:00:26.160000,0 days 00:00:29.706000,0 days 00:00:42.089000,MEDIUM,13.0,1.0,,,1,1.0,False,2025,China,R,97.955,26.16,29.706,42.089
PIA,McLaren,14.0,0 days 00:01:42.626000,0 days 00:00:26.250000,0 days 00:00:29.472000,0 days 00:00:46.904000,MEDIUM,14.0,1.0,0 days 01:21:57.540000,,1,2.0,False,2025,China,R,102.626,26.25,29.472,46.904
PIA,McLaren,15.0,0 days 00:01:57.530000,0 days 00:00:45.661000,0 days 00:00:29.730000,0 days 00:00:42.139000,HARD,1.0,2.0,,0 days 01:22:21.395000,1,4.0,False,2025,China,R,117.53,45.661,29.73,42.139
PIA,McLaren,16.0,0 days 00:01:37.407000,0 days 00:00:26.166000,0 days 00:00:29.557000,0 days 00:00:41.684000,HARD,2.0,2.0,,,1,2.0,False,2025,China,R,97.407,26.166,29.557,41.684
PIA,McLaren,17.0,0 days 00:01:36.891000,0 days 00:00:25.902000,0 days 00:00:29.667000,0 days 00:00:41.322000,HARD,3.0,2.0,,,1,1.0,False,2025,China,R,96.891,25.902,29.667,41.322
PIA,McLaren,18.0,0 days 00:01:37.171000,0 days 00:00:26.135000,0 days 00:00:29.381000,0 days 00:00:41.655000,HARD,4.0,2.0,,,1,1.0,False,2025,China,R,97.171,26.135,29.381,41.655
PIA,McLaren,19.0,0 days 00:01:37.211000,0 days 00:00:25.989000,0 days 00:00:29.447000,0 days 00:00:41.775000,HARD,5.0,2.0,,,1,1.0,False,2025,China,R,97.211,25.989,29.447,41.775
PIA,McLaren,20.0,0 days 00:01:37.408000,0 days 00:00:26.183000,0 days 00:00:29.562000,0 days 00:00:41.663000,HARD,6.0,2.0,,,1,1.0,False,2025,China,R,97.408,26.183,29.562,41.663
PIA,McLaren,21.0,0 days 00:01:37.985000,0 days 00:00:26.270000,0 days 00:00:29.726000,0 days 00:00:41.989000,HARD,7.0,2.0,,,1,1.0,False,2025,China,R,97.985,26.27,29.726,41.989
PIA,McLaren,22.0,0 days 00:01:37.738000,0 days 00:00:26.258000,0 days 00:00:29.689000,0 days 00:00:41.791000,HARD,8.0,2.0,,,1,1.0,False,2025,China,R,97.738,26.258,29.689,41.791
PIA,McLaren,23.0,0 days 00:01:37.232000,0 days 00:00:26.200000,0 days 00:00:29.359000,0 days 00:00:41.673000,HARD,9.0,2.0,,,1,1.0,False,2025,China,R,97.232,26.2,29.359,41.673
PIA,McLaren,24.0,0 days 00:01:36.970000,0 days 00:00:25.901000,0 days 00:00:29.430000,0 days 00:00:41.639000,HARD,10.0,2.0,,,1,1.0,False,2025,China,R,96.97,25.901,29.43,41.639
PIA,McLaren,25.0,0 days 00:01:37.185000,0 days 00:00:26.055000,0 days 00:00:29.418000,0 days 00:00:41.712000,HARD,11.0,2.0,,,1,1.0,False,2025,China,R,97.185,26.055,29.418,41.712
