Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:34.725000,,0 days 00:00:41.962000,0 days 00:00:18.147000,MEDIUM,1.0,1.0,,,1,1.0,False,2025,Japan,R,94.725,,41.962,18.147
VER,Red Bull Racing,2.0,0 days 00:01:33.943000,0 days 00:00:33.894000,0 days 00:00:42.026000,0 days 00:00:18.023000,MEDIUM,2.0,1.0,,,1,1.0,False,2025,Japan,R,93.943,33.894,42.026,18.023
VER,Red Bull Racing,3.0,0 days 00:01:33.639000,0 days 00:00:33.567000,0 days 00:00:42.027000,0 days 00:00:18.045000,MEDIUM,3.0,1.0,,,1,1.0,False,2025,Japan,R,93.639,33.567,42.027,18.045
VER,Red Bull Racing,4.0,0 days 00:01:33.744000,0 days 00:00:33.570000,0 days 00:00:42.140000,0 days 00:00:18.034000,MEDIUM,4.0,1.0,,,1,1.0,False,2025,Japan,R,93.744,33.57,42.14,18.034
VER,Red Bull Racing,5.0,0 days 00:01:33.776000,0 days 00:00:33.486000,0 days 00:00:42.157000,0 days 00:00:18.133000,MEDIUM,5.0,1.0,,,1,1.0,False,2025,Japan,R,93.776,33.486,42.157,18.133
VER,Red Bull Racing,6.0,0 days 00:01:33.646000,0 days 00:00:33.319000,0 days 00:00:42.252000,0 days 00:00:18.075000,MEDIUM,6.0,1.0,,,1,1.0,False,2025,Japan,R,93.646,33.319,42.252,18.075
VER,Red Bull Racing,7.0,0 days 00:01:33.526000,0 days 00:00:33.193000,0 days 00:00:42.278000,0 days 00:00:18.055000,MEDIUM,7.0,1.0,,,1,1.0,False,2025,Japan,R,93.526,33.193,42.278,18.055
VER,Red Bull Racing,8.0,0 days 00:01:33.536000,0 days 00:00:33.130000,0 days 00:00:42.336000,0 days 00:00:18.070000,MEDIUM,8.0,1.0,,,1,1.0,False,2025,Japan,R,93.536,33.13,42.336,18.07
VER,Red Bull Racing,9.0,0 days 00:01:33.529000,0 days 00:00:33.067000,0 days 00:00:42.336000,0 days 00:00:18.126000,MEDIUM,9.0,1.0,,,1,1.0,False,2025,Japan,R,93.529,33.067,42.336,18.126
VER,Red Bull Racing,10.0,0 days 00:01:33.555000,0 days 00:00:33.118000,0 days 00:00:42.367000,0 days 00:00:18.070000,MEDIUM,10.0,1.0,,,1,1.0,False,2025,Japan,R,93.555,33.118,42.367,18.07
VER,Red Bull Racing,11.0,0 days 00:01:33.498000,0 days 00:00:33.132000,0 days 00:00:42.299000,0 days 00:00:18.067000,MEDIUM,11.0,1.0,,,1,1.0,False,2025,Japan,R,93.498,33.132,42.299,18.067
VER,Red Bull Racing,12.0,0 days 00:01:33.643000,0 days 00:00:33.046000,0 days 00:00:42.461000,0 days 00:00:18.136000,MEDIUM,12.0,1.0,,,1,1.0,False,2025,Japan,R,93.643,33.046,42.461,18.136
VER,Red Bull Racing,13.0,0 days 00:01:33.640000,0 days 00:00:33.035000,0 days 00:00:42.473000,0 days 00:00:18.132000,MEDIUM,13.0,1.0,,,1,1.0,False,2025,Japan,R,93.64,33.035,42.473,18.132
