Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:23.696000,,0 days 00:00:32.318000,0 days 00:00:24.013000,SOFT,4.0,1.0,,,1,2.0,False,2025,Spain,R,83.696,,32.318,24.013
VER,Red Bull Racing,2.0,0 days 00:01:20.083000,0 days 00:00:24.125000,0 days 00:00:32.278000,0 days 00:00:23.680000,SOFT,5.0,1.0,,,1,2.0,False,2025,Spain,R,80.083,24.125,32.278,23.68
VER,Red Bull Racing,3.0,0 days 00:01:20.537000,0 days 00:00:23.816000,0 days 00:00:32.561000,0 days 00:00:24.160000,SOFT,6.0,1.0,,,1,2.0,False,2025,Spain,R,80.537,23.816,32.561,24.16
VER,Red Bull Racing,4.0,0 days 00:01:21.032000,0 days 00:00:24.299000,0 days 00:00:32.612000,0 days 00:00:24.121000,SOFT,7.0,1.0,,,1,2.0,False,2025,Spain,R,81.032,24.299,32.612,24.121
VER,Red Bull Racing,5.0,0 days 00:01:20.964000,0 days 00:00:24.223000,0 days 00:00:32.561000,0 days 00:00:24.180000,SOFT,8.0,1.0,,,1,2.0,False,2025,Spain,R,80.964,24.223,32.561,24.18
VER,Red Bull Racing,6.0,0 days 00:01:20.822000,0 days 00:00:23.966000,0 days 00:00:32.687000,0 days 00:00:24.169000,SOFT,9.0,1.0,,,1,2.0,False,2025,Spain,R,80.822,23.966,32.687,24.169
VER,Red Bull Racing,7.0,0 days 00:01:20.760000,0 days 00:00:23.968000,0 days 00:00:32.520000,0 days 00:00:24.272000,SOFT,10.0,1.0,,,1,2.0,False,2025,Spain,R,80.76,23.968,32.52,24.272
VER,Red Bull Racing,8.0,0 days 00:01:21.019000,0 days 00:00:24.105000,0 days 00:00:32.719000,0 days 00:00:24.195000,SOFT,11.0,1.0,,,1,2.0,False,2025,Spain,R,81.019,24.105,32.719,24.195
VER,Red Bull Racing,9.0,0 days 00:01:21.168000,0 days 00:00:24.033000,0 days 00:00:32.833000,0 days 00:00:24.302000,SOFT,12.0,1.0,,,1,2.0,False,2025,Spain,R,81.168,24.033,32.833,24.302
VER,Red Bull Racing,10.0,0 days 00:01:21.163000,0 days 00:00:24.018000,0 days 00:00:32.814000,0 days 00:00:24.331000,SOFT,13.0,1.0,,,1,2.0,False,2025,Spain,R,81.163,24.018,32.814,24.331
VER,Red Bull Racing,11.0,0 days 00:01:21.143000,0 days 00:00:23.996000,0 days 00:00:32.812000,0 days 00:00:24.335000,SOFT,14.0,1.0,,,1,2.0,False,2025,Spain,R,81.143,23.996,32.812,24.335
VER,Red Bull Racing,12.0,0 days 00:01:21.623000,0 days 00:00:24.142000,0 days 00:00:33.037000,0 days 00:00:24.444000,SOFT,15.0,1.0,,,1,2.0,False,2025,Spain,R,81.623,24.142,33.037,24.444
