race,session,driver,team,compound,lap_number,stint_lap,lap_time_seconds,track_temp,air_temp,run_type,clean_lap,traffic_affected,drs_used
Australia,FP2,VER,Red Bull Racing,MEDIUM,17,1,94.00,39.8,26.8,LONG_RUN,True,False,False
Australia,FP2,VER,Red Bull Racing,MEDIUM,18,2,94.14,39.7,26.8,LONG_RUN,True,False,False
Australia,FP2,VER,Red Bull Racing,MEDIUM,19,3,94.29,39.6,26.7,LONG_RUN,True,False,False
Australia,FP2,VER,Red Bull Racing,MEDIUM,20,4,94.45,39.5,26.7,LONG_RUN,True,False,False
Australia,FP3,VER,Red Bull Racing,MEDIUM,7,1,93.90,38.8,25.8,RACE_PACE,True,False,False
Australia,FP3,VER,Red Bull Racing,MEDIUM,8,2,94.03,38.7,25.8,RACE_PACE,True,False,False
Australia,FP3,VER,Red Bull Racing,MEDIUM,9,3,94.17,38.6,25.7,RACE_PACE,True,False,False
Australia,FP3,VER,Red Bull Racing,MEDIUM,10,4,94.31,38.6,25.7,RACE_PACE,True,False,False
Australia,FP2,VER,Red Bull Racing,HARD,24,1,94.32,39.8,26.8,LONG_RUN,True,False,False
Australia,FP2,VER,Red Bull Racing,HARD,25,2,94.45,39.7,26.8,LONG_RUN,True,False,False
Australia,FP2,VER,Red Bull Racing,HARD,26,3,94.59,39.6,26.7,LONG_RUN,True,False,False
Australia,FP2,VER,Red Bull Racing,HARD,27,4,94.74,39.5,26.7,LONG_RUN,True,False,False
Australia,FP3,VER,Red Bull Racing,HARD,13,1,94.18,38.8,25.8,RACE_PACE,True,False,False
Australia,FP3,VER,Red Bull Racing,HARD,14,2,94.31,38.7,25.8,RACE_PACE,True,False,False
Australia,FP3,VER,Red Bull Racing,HARD,15,3,94.46,38.6,25.7,RACE_PACE,True,False,False
Australia,FP3,VER,Red Bull Racing,HARD,16,4,94.61,38.6,25.7,RACE_PACE,True,False,False
Australia,FP2,LEC,Ferrari,HARD,16,1,94.40,39.9,26.9,LONG_RUN,True,False,False
Australia,FP2,LEC,Ferrari,HARD,17,2,94.55,39.8,26.9,LONG_RUN,True,False,False
Australia,FP2,LEC,Ferrari,HARD,18,3,94.69,39.7,26.8,LONG_RUN,True,False,False
Australia,FP2,LEC,Ferrari,HARD,19,4,94.84,39.6,26.8,LONG_RUN,True,False,False
Australia,FP3,LEC,Ferrari,HARD,8,1,94.25,38.8,25.9,RACE_PACE,True,False,False
Australia,FP3,LEC,Ferrari,HARD,9,2,94.39,38.7,25.9,RACE_PACE,True,False,False
Australia,FP3,LEC,Ferrari,HARD,10,3,94.54,38.6,25.8,RACE_PACE,True,False,False
Australia,FP3,LEC,Ferrari,HARD,11,4,94.70,38.6,25.8,RACE_PACE,True,False,False
Australia,FP2,NOR,McLaren,MEDIUM,18,1,93.88,39.8,26.8,LONG_RUN,True,False,False
Australia,FP2,NOR,McLaren,MEDIUM,19,2,94.02,39.7,26.8,LONG_RUN,True,False,False
Australia,FP2,NOR,McLaren,MEDIUM,20,3,94.16,39.6,26.7,LONG_RUN,True,False,False
Australia,FP2,NOR,McLaren,MEDIUM,21,4,94.31,39.5,26.7,LONG_RUN,True,False,False
Australia,FP3,NOR,McLaren,MEDIUM,9,1,93.74,38.8,25.8,RACE_PACE,True,False,False
Australia,FP3,NOR,McLaren,MEDIUM,10,2,93.88,38.7,25.8,RACE_PACE,True,False,False
Australia,FP3,NOR,McLaren,MEDIUM,11,3,94.03,38.6,25.7,RACE_PACE,True,False,False
Australia,FP3,NOR,McLaren,MEDIUM,12,4,94.17,38.6,25.7,RACE_PACE,True,False,False
Australia,FP2,PIA,McLaren,HARD,22,1,94.21,39.8,26.8,LONG_RUN,True,False,False
Australia,FP2,PIA,McLaren,HARD,23,2,94.35,39.7,26.8,LONG_RUN,True,False,False
Australia,FP2,PIA,McLaren,HARD,24,3,94.50,39.6,26.7,LONG_RUN,True,False,False
Australia,FP2,PIA,McLaren,HARD,25,4,94.66,39.5,26.7,LONG_RUN,True,False,False
Australia,FP3,PIA,McLaren,HARD,11,1,94.07,38.8,25.8,RACE_PACE,True,False,False
Australia,FP3,PIA,McLaren,HARD,12,2,94.22,38.7,25.8,RACE_PACE,True,False,False
Australia,FP3,PIA,McLaren,HARD,13,3,94.36,38.6,25.7,RACE_PACE,True,False,False
Australia,FP3,PIA,McLaren,HARD,14,4,94.52,38.6,25.7,RACE_PACE,True,False,False
Australia,FP2,HAM,Mercedes,MEDIUM,17,1,94.15,39.9,26.9,LONG_RUN,True,False,False
