race,season,lap,driver,team,actual_position,current_compound,tire_age,stops_made,gap_to_leader_seconds,gap_to_ahead_seconds,gap_to_behind_seconds,projected_total_time_if_pit_now,projected_total_time_if_stay_out,pit_now_gain_seconds,projected_finish_if_pit_now,projected_finish_if_stay_out,overtake_probability_if_pit_now,overtake_probability_if_stay_out,best_action_now,actual_first_pit_lap,model_first_pit_now_lap,confirmed_first_pit_call_lap,first_pit_lap_error,confirmed_first_pit_lap_error,first_stop_signal_status,confirmed_signal_status,recommendation_reason
Japan,2026,1,PIA,McLaren,1,MEDIUM,1,0,0.0,0.0,1.0919999999999987,5134.4818512,5095.9508000000005,-38.53105119999964,7,3,0.12506666666666577,0.6246,stay_out,19.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -38.53s, pit recovery probability: 0.13, stay-out overtake probability: 0.62. Undercut/cover pressure: 0.20s."
Japan,2026,1,LEC,Ferrari,2,MEDIUM,1,0,1.0919999999999987,1.0919999999999987,0.8460000000000036,5152.474449600001,5114.3957,-38.078749600001174,8,6,0.12106666666666578,0.31960000000000094,stay_out,18.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -38.08s, pit recovery probability: 0.12, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.41s."
Japan,2026,1,NOR,McLaren,3,MEDIUM,1,0,1.9380000000000024,0.8460000000000036,0.6169999999999902,5150.2214632,5112.435600000001,-37.78586319999886,8,6,0.11706666666666578,0.31960000000000094,stay_out,17.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -37.79s, pit recovery probability: 0.12, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.46s."
Japan,2026,1,RUS,Mercedes,4,MEDIUM,1,0,2.5549999999999926,0.6169999999999902,0.5630000000000024,5104.3753383,5066.8565,-37.518838300000425,7,3,0.11306666666666577,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -37.52s, pit recovery probability: 0.11, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.49s."
Japan,2026,1,HAM,Ferrari,5,MEDIUM,1,0,3.117999999999995,0.5630000000000024,0.39800000000001035,5086.302366299999,5049.0494,-37.25296629999957,6,3,0.10906666666666577,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -37.25s, pit recovery probability: 0.11, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.52s."
Japan,2026,1,ANT,Mercedes,6,MEDIUM,1,0,3.5160000000000053,0.39800000000001035,0.8669999999999902,5059.6147772,5022.550300000001,-37.0644771999996,6,3,0.10506666666666577,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -37.06s, pit recovery probability: 0.11, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.47s."
Japan,2026,1,GAS,Alpine,7,MEDIUM,1,0,4.382999999999996,0.8669999999999902,0.6420000000000101,5128.873912700001,5092.0342,-36.839712700000746,10,5,0.10106666666666576,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.84s, pit recovery probability: 0.10, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.46s."
Japan,2026,1,HAD,Red Bull Racing,8,MEDIUM,1,0,5.025000000000006,0.6420000000000101,0.3669999999999902,5210.0915352,5173.549100000001,-36.54243519999909,14,10,0.09706666666666576,0.31960000000000094,stay_out,20.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.54s, pit recovery probability: 0.10, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.52s."
Japan,2026,1,LIN,Racing Bulls,9,MEDIUM,1,0,5.391999999999996,0.3669999999999902,0.6129999999999995,5220.727643300001,5184.415,-36.31264330000067,15,12,0.09306666666666581,0.31960000000000094,stay_out,19.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.31s, pit recovery probability: 0.09, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.51s."
Japan,2026,1,VER,Red Bull Racing,10,MEDIUM,1,0,6.0049999999999955,0.6129999999999995,0.6400000000000006,5129.039632500001,5092.778,-36.261632500000815,11,7,0.08906666666666581,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.26s, pit recovery probability: 0.09, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.48s."
Japan,2026,1,OCO,Haas F1 Team,11,MEDIUM,1,0,6.644999999999996,0.6400000000000006,0.585000000000008,5196.980561000001,5160.724,-36.25656100000106,16,10,0.0850666666666658,0.31960000000000094,stay_out,20.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.26s, pit recovery probability: 0.09, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.49s."
Japan,2026,1,LAW,Racing Bulls,12,MEDIUM,1,0,7.230000000000004,0.585000000000008,0.43200000000000216,5142.311157700001,5106.081,-36.230157700000746,12,9,0.0810666666666658,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.23s, pit recovery probability: 0.08, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.51s."
Japan,2026,1,BOR,Audi,13,MEDIUM,1,0,7.662000000000006,0.43200000000000216,0.22999999999998977,5201.098702000001,5164.911,-36.18770200000108,16,12,0.09173333333333246,0.31960000000000094,stay_out,27.0,,,,,no_signal_before_actual_stop,no_confirmed_signal_before_actual_stop,"Stay out is preferred for now because pit-cycle recovery odds are limited. Net pit-now gain: -36.19s, pit recovery probability: 0.09, stay-out overtake probability: 0.32. Undercut/cover pressure: 0.56s."
